Year,Age,Tm,Pos,No.,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,AV,Awards
2014*,23,STL,LDT,99,16,12,0,0,0,0,1,2,0,0,0,0,9,48,38,10,18,13,,11,AP DRoY-1 PB
2015*+,24,STL,LDT,99,16,16,0,0,0,0,1,0,0,1,40,0,11,69,44,25,22,37,,18,AP DPoY-2 AP1 PB
2016*+,25,LAR,LDT,99,16,16,0,0,0,0,5,2,0,0,0,0,8,47,36,11,17,31,,15,AP DPoY-4 AP1 PB
2017*+,26,LAR,RDE,99,14,14,0,0,0,0,1,5,0,1,0,0,11,41,32,9,15,27,,15,AP DPoY-1 AP1 PB
2018*+,27,LAR,RDT,99,16,16,0,0,0,0,1,4,0,2,0,0,20.5,59,41,18,25,41,,16,AP DPoY-1 AP1 PB
2019*+,28,LAR,RDE,99,16,16,0,0,0,0,2,2,0,1,0,0,12.5,48,29,19,20,24,1,14,AP DPoY-5 AP1 PB
2020*+,29,LAR,DT,99,16,16,0,0,0,0,1,4,0,1,0,0,13.5,45,27,18,14,28,,24,AP DPoY-1 AP1 PB
2021*+,30,LAR,LDT,99,17,17,0,0,0,0,4,4,0,0,0,0,12.5,84,38,46,19,25,,17,AP DPoY-3 AP1 PB
2022,31,LAR,DT,99,6,6,0,0,0,0,1,1,0,1,0,0,4,25,12,13,6,6,,,
Career,,,,,133,129,0,0,0,0,17,24,0,7,40,0,102,466,297,169,156,232,1,130,
