Year,Age,Tm,Pos,No.,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds,Sk%,NY/A,ANY/A,4QC,GWD,AV,Awards
2005,22,GNB,QB,12,3,0,,9,16,56.3,65,0,0,1,6.3,3,16,4.1,1.3,7.2,21.7,39.8,,3,28,15.8,1.95,-0.42,,,0,
2006,23,GNB,QB,12,2,0,,6,15,40,46,0,0,0,0,2,16,3.1,3.1,7.7,23,48.2,7.9,3,18,16.7,1.56,1.56,,,0,
2007,24,GNB,QB,12,2,0,,20,28,71.4,218,1,3.6,0,0,9,43,7.8,8.5,10.9,109,106,78.8,3,24,9.7,6.26,6.9,,,1,
2008,25,GNB,QB,12,16,16,6-10-0,341,536,63.6,4038,28,5.2,13,2.4,184,71,7.5,7.5,11.8,252.4,93.8,62.9,34,231,6,6.68,6.64,1,2,15,
2009*,26,GNB,QB,12,16,16,11-5-0,350,541,64.7,4434,30,5.5,7,1.3,198,83,8.2,8.7,12.7,277.1,103.2,69.1,50,306,8.5,6.98,7.47,2,2,19,PB
2010,27,GNB,QB,12,15,15,10-5-0,312,475,65.7,3922,28,5.9,11,2.3,183,86,8.3,8.4,12.6,261.5,101.2,69.6,31,193,6.1,7.37,7.5,0,1,15,AP OPoY-5
2011*+,28,GNB,QB,12,15,15,14-1-0,343,502,68.3,4643,45,9,6,1.2,209,93,9.2,10.5,13.5,309.5,122.5,83.8,36,219,6.7,8.22,9.39,0,1,23,AP MVP-1 AP OPoY-2 AP1 PB
2012*,29,GNB,QB,12,16,16,11-5-0,371,552,67.2,4295,39,7.1,8,1.4,215,73,7.8,8.5,11.6,268.4,108,71.2,51,293,8.5,6.64,7.33,2,3,16,AP OPoY-3 AP2 PB
2013,30,GNB,QB,12,9,9,6-3-0,193,290,66.6,2536,17,5.9,6,2.1,108,83,8.7,9,13.1,281.8,104.9,61.6,21,117,6.8,7.78,8,1,1,9,
2014*+,31,GNB,QB,12,16,16,12-4-0,341,520,65.6,4381,38,7.3,5,1,221,80,8.4,9.5,12.8,273.8,112.2,78.3,28,174,5.1,7.68,8.65,1,1,22,AP MVP-1 AP OPoY-2 AP1 PB
2015*,32,GNB,QB,12,16,16,10-6-0,347,572,60.7,3821,31,5.4,8,1.4,177,65,6.7,7.1,11,238.8,92.7,60,46,314,7.4,5.67,6.1,2,2,14,PB
2016*,33,GNB,QB,12,16,16,10-6-0,401,610,65.7,4428,40,6.6,7,1.1,226,66,7.3,8.1,11,276.8,104.2,72.4,35,246,5.4,6.48,7.24,0,2,18,AP MVP-5 AP OPoY-2 PB
2017,34,GNB,QB,12,7,7,4-3-0,154,238,64.7,1675,16,6.7,6,2.5,86,72,7,7.2,10.9,239.3,97.2,66,22,168,8.5,5.8,5.99,2,2,6,
2018*,35,GNB,QB,12,16,16,6-9-1,372,597,62.3,4442,25,4.2,2,0.3,200,75,7.4,8.1,11.9,277.6,97.6,58,49,353,7.6,6.33,6.96,3,3,13,PB
2019*,36,GNB,QB,12,16,16,13-3-0,353,569,62,4002,26,4.6,4,0.7,189,74,7,7.6,11.3,250.1,95.4,52.5,36,284,6,6.15,6.71,2,3,14,PB
2020*+,37,GNB,QB,12,16,16,13-3-0,372,526,70.7,4299,48,9.1,5,1,216,78,8.2,9.6,11.6,268.7,121.5,79.8,20,182,3.7,7.54,8.89,1,2,18,AP MVP-1 AP OPoY-2 AP1 PB
2021*+,38,GNB,QB,12,16,16,13-3-0,366,531,68.9,4115,37,7,4,0.8,213,75,7.7,8.8,11.2,257.2,111.9,69.1,30,188,5.3,7,8,1,2,15,AP MVP-1 AP OPoY-4 AP1 PB
2022,39,GNB,QB,12,6,6,3-3-0,140,209,67,1403,9,4.3,3,1.4,66,55,6.7,6.9,10,233.8,94.2,38.4,15,121,6.7,5.72,5.92,0,0,,
Career,,,,,219,212,142-69-1,4791,7327,65.4,56763,458,6.3,96,1.3,2705,93,7.7,8.4,11.8,259.2,104.2,,513,3459,6.5,6.8,7.42,18,27,218,
