Year,Age,Tm,Pos,No.,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,AV,Awards
1991,23,PHO,RCB/lcb,35,16,15,6,60,0,32,,,1,2,10,0,0,48,,,,,,7,AP DRoY-3
1992,24,PHO,RCB,35,16,16,3,25,0,23,,,0,1,39,0,0,48,,,,,,6,
1993,25,PHO,LCB,35,16,16,2,87,1,46,,0,0,2,20,1,0,42,,,,,,7,
1994*,26,ARI,LCB,35,16,16,9,89,0,43,,0,0,1,0,0,0,41,40,1,,,,18,AP2 PB
1995*+,27,ARI,LCB,35,16,16,6,86,2,48,,0,1,3,0,0,0,62,52,10,,,,15,AP1 PB
1996*,28,ARI,LCB,35,16,16,6,89,1,65,,0,0,1,0,0,1,77,65,12,,,,11,AP2 PB
1997*+,29,ARI,LCB,35,16,16,6,95,2,42,,1,0,0,0,0,0,63,49,14,,,,17,AP1 PB
1998*,30,ARI,LCB,35,16,16,1,15,0,15,,,,,,,1,70,57,13,,,,10,PB
1999*,31,ARI,LCB,35,16,16,2,5,0,8,7,1,0,2,0,0,0,55,50,5,0,,,9,PB
2000,32,ARI,LCB,35,16,16,5,102,0,48,11,2,0,2,104,1,0,62,48,14,0,,,6,
2001*+,33,STL,LCB,35,16,16,4,69,2,42,18,1,0,4,0,0,0,73,56,17,1,,,19,AP1 PB
2002,34,STL,lcb,35,6,6,1,3,0,3,2,0,0,1,2,0,0,29,23,6,0,,,3,
2003*,35,STL,FS,35,16,16,4,82,1,46,8,1,0,4,93,1,1,75,60,15,2,,,10,PB
2004,36,STL,FS,35,13,10,0,0,0,0,2,2,,,,,0,48,40,8,0,,,4,
Career,,,,,211,207,55,807,9,65,48,8,2,23,268,3,3,793,540,115,3,,,142,
10 yrs,,ARI-PHO,,,160,159,46,653,6,65,18,4,2,14,173,2,2,568,361,69,0,,,106,
4 yrs,,STL,,,51,48,9,154,3,46,30,4,0,9,95,1,1,225,179,46,3,,,36,
