Year,Age,Tm,Pos,No.,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,AV,Awards
1998,22,PIT,LG,65,16,12,,,,,,,,,,,0,,,,,,,4,
1999,23,PIT,LG,65,15,14,,,,,,,,,,,0,,,,,,,7,
2000,24,PIT,LG,66,16,16,,,,,,0,0,1,0,0,0,,,,,,,7,
2001*+,25,PIT,LG,66,15,15,,,,,,,,,,,0,,,,,,,13,AP1 PB
2002*+,26,PIT,LG,66,16,16,,,,,,0,0,2,0,0,0,,,,,,,14,AP1 PB
2003*,27,PIT,LT/lg,66,16,16,,,,,,,,,,,0,,,,,,,10,AP2 PB
2004*+,28,PIT,LG,66,16,16,,,,,,,,,,,0,,,,,,,13,AP1 PB
2005*+,29,PIT,LG,66,16,16,,,,,,0,0,2,0,0,0,,,,,,,16,AP1 PB
2006*+,30,PIT,LG,66,16,16,,,,,,0,0,2,0,0,0,,,,,,,15,AP1 PB
2007*+,31,PIT,LG,66,16,16,,,,,,0,0,1,0,0,0,,,,,,,16,AP1 PB
2008*,32,NYJ,LG,66,16,16,,,,,,0,0,1,0,0,0,,,,,,,12,AP2 PB
2009*,33,NYJ,LG,66,16,16,,,,,,0,0,1,0,0,0,,,,,,,8,PB
2010,34,ARI,LG,66,16,16,,,,,,0,0,1,0,0,0,,,,,,,5,
Career,,,,,206,201,,,,,,0,0,11,0,0,0,,,,,,,140,
10 yrs,,PIT,,,158,153,,,,,,0,0,8,0,0,0,,,,,,,115,
2 yrs,,NYJ,,,32,32,,,,,,0,0,2,0,0,0,,,,,,,20,
1 yr,,ARI,,,16,16,,,,,,0,0,1,0,0,0,,,,,,,5,
