Year,Age,Tm,Pos,No.,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Sfty,AV,Awards
1967,22,MIN,LDT,88,14,11,,,,,,,0,3,0,0,8.5,,8,AP DRoY-3 UPI RoY-2
1968*,23,MIN,RDT/LDT,88,14,14,,,,,,,0,2,0,0,11,,11,PB
1969*,24,MIN,RDT,88,14,14,0,15,1,15,,,0,1,0,0,9,,23,AP2 PB
1970*+,25,MIN,RDT,88,14,14,1,27,0,27,,,0,7,77,1,10.5,,24,AP MVP-3 AP1 PB
1971*+,26,MIN,RDT,88,14,14,,,,,,,0,3,8,0,9,2,21,AP MVP-1 AP DPoY-1 AP1 PB
1972*,27,MIN,RDT,88,14,14,,,,,,,,,,,6,,11,AP2 PB
1973*+,28,MIN,RDT,88,14,14,,,,,,,0,1,0,0,5,,16,AP DPoY-4 AP1 PB
1974*+,29,MIN,RDT,88,14,14,,,,,,,,,,,11,,14,AP DPoY-4 AP1 PB
1975*+,30,MIN,RDT,88,14,14,,,,,,,,,,,13,,14,AP1 PB
1976*,31,MIN,RDT,88,14,14,,,,,,,0,1,1,0,18,,13,AP2 PB
1977,32,MIN,RDT,88,14,14,,,,,,,0,1,0,0,7.5,,8,
1978,33,2TM,,,16,16,,,,,,,,,,,11.5,,7,
,,CHI,RDT,82,10,10,,,,,,,,,,,11.5,,5,
,,MIN,RDT,88,6,6,,,,,,,,,,,0,,2,
1979,34,CHI,RDT,82,16,16,,,,,,,0,1,0,0,10,,8,
1980,35,CHI,RDT,82,16,16,1,0,0,0,,,0,2,0,1,9.5,1,10,
1981,36,CHI,RDT,82,16,16,,,,,,,0,1,0,0,9,,9,
Career,,,,,218,215,2,42,1,27,,,0,23,86,2,148.5,3,197,
12 yrs,,MIN,,,160,157,1,42,1,27,,,0,19,86,1,108.5,2,165,
4 yrs,,CHI,,,58,58,1,0,0,0,,,0,4,0,1,40,1,32,
