Year,Age,Tm,Pos,No.,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Sfty,AV,Awards
1958,23,DET,LDT,71,12,8,,,,,,,0,3,10,0,,,,AP RoY-6 UPI RoY-5
1959,24,DET,LDT,71,12,12,,,,,,,0,1,0,0,,,,
1960*+,25,DET,LDT,71,12,12,,,,,,,,,,,9,,15,AP1 PB
1961*+,26,DET,LDT,71,14,14,,,,,,,0,2,0,0,11.5,,14,AP1 PB
1962*,27,DET,LDT,71,14,14,1,28,0,28,,,0,1,0,0,11,1,14,AP2 PB
1963,,Missed season - Gambling suspension,,,,,,,,,,,,,,,,,,
1964,29,DET,LDT,71,14,14,2,7,0,5,,,0,1,0,0,13,,13,AP CPoY-4 AP2
1965*+,30,DET,LDT,71,14,14,,,,,,,,,,,15,,14,AP1 PB
1966,31,DET,LDT,71,14,14,,,,,,,0,4,0,0,9,,11,AP2
1967,32,DET,LDT,71,14,14,,,,,,,0,2,0,0,12.5,,13,AP2
1968,33,DET,LDT,71,14,14,,,,,,,,,,,9.5,,9,
1969,34,DET,LDT,71,14,14,1,22,0,22,,,0,2,0,0,7.5,,11,AP MVP-6 AP2
1970,35,DET,LDT,71,13,12,,,,,,,0,2,0,0,2,,8,
Career,,,,,161,156,4,57,0,28,,,0,18,10,0,100,1,122,
