Year,Age,Tm,Pos,No.,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds,Sk%,NY/A,ANY/A,4QC,GWD,AV,Awards
2005,21,SFO,QB,11,9,7,2-5-0,84,165,50.9,875,1,0.6,11,6.7,37,47,5.3,2.4,10.4,97.2,40.8,,29,185,14.9,3.56,1.11,1,2,-3,
2006,22,SFO,QB,11,16,16,7-9-0,257,442,58.1,2890,16,3.6,16,3.6,132,75,6.5,5.6,11.2,180.6,74.8,44.4,35,202,7.3,5.64,4.8,1,2,10,
2007,23,SFO,QB,11,7,7,2-5-0,94,193,48.7,914,2,1,4,2.1,48,45,4.7,4,9.7,130.6,57.2,18.2,17,121,8.1,3.78,3.11,2,2,0,
2008,,Missed season - Injured (shoulder),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,25,SFO,QB,11,11,10,5-5-0,225,372,60.5,2350,18,4.8,12,3.2,100,73,6.3,5.8,10.4,213.6,81.5,41.8,22,134,5.6,5.62,5.17,,,7,
2010,26,SFO,QB,11,11,10,3-7-0,204,342,59.6,2370,14,4.1,10,2.9,102,62,6.9,6.4,11.6,215.5,82.1,43.8,25,140,6.8,6.08,5.61,,,6,
2011,27,SFO,QB,11,16,16,13-3-0,273,445,61.3,3144,17,3.8,5,1.1,145,56,7.1,7.3,11.5,196.5,90.7,54.5,44,263,9,5.89,6.13,5,5,13,AP CPoY-3
2012,28,SFO,QB,11,10,9,6-2-1,153,218,70.2,1737,13,6,5,2.3,87,55,8,8.1,11.4,173.7,104.1,65.1,24,137,9.9,6.61,6.76,,,7,
2013*,29,KAN,QB,11,15,15,11-4-0,308,508,60.6,3313,23,4.5,7,1.4,168,71,6.5,6.8,10.8,220.9,89.1,45,39,210,7.1,5.67,5.94,1,1,14,AP CPoY-6 PB
2014,30,KAN,QB,11,15,15,8-7-0,303,464,65.3,3265,18,3.9,6,1.3,179,70,7,7.2,10.8,217.7,93.4,51.7,45,229,8.8,5.96,6.14,3,3,14,
2015,31,KAN,QB,11,16,16,11-5-0,307,470,65.3,3486,20,4.3,7,1.5,155,80,7.4,7.6,11.4,217.9,95.4,61.1,45,235,8.7,6.31,6.48,1,1,16,
2016*,32,KAN,QB,11,15,15,11-4-0,328,489,67.1,3502,15,3.1,8,1.6,182,80,7.2,7,10.7,233.5,91.2,60.8,28,140,5.4,6.5,6.39,3,3,12,PB
2017*,33,KAN,QB,11,15,15,9-6-0,341,505,67.5,4042,26,5.1,5,1,182,79,8,8.6,11.9,269.5,104.7,65.1,35,207,6.5,7.1,7.65,1,3,17,PB
2018,34,WAS,QB,11,10,10,6-4-0,205,328,62.5,2180,10,3,5,1.5,106,52,6.6,6.6,10.6,218,85.7,46.9,22,121,6.3,5.88,5.81,,,6,
2019,,Missed season - Injured (infection),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,36,WAS,QB,11,8,6,5-1-0,168,252,66.7,1582,6,2.4,8,3.2,73,68,6.3,5.3,9.4,197.8,78.5,28.2,22,139,8,5.27,4.39,1,1,1,AP CPoY-1
Career,,,,,174,167,99-67-1,3250,5193,62.6,35650,199,3.8,109,2.1,1696,80,6.9,6.7,11,204.9,86.9,,432,2463,7.7,5.9,5.74,19,23,120,
7 yrs,,SFO,,,80,75,38-36-1,1290,2177,59.3,14280,81,3.7,63,2.9,651,75,6.6,6,11.1,178.5,79.1,,196,1182,8.3,5.52,5.01,9,11,40,
5 yrs,,KAN,,,76,76,50-26-0,1587,2436,65.1,17608,102,4.2,33,1.4,866,80,7.2,7.5,11.1,231.7,94.8,,192,1021,7.3,6.31,6.52,9,11,73,
2 yrs,,WAS,,,18,16,11-5-0,373,580,64.3,3762,16,2.8,13,2.2,179,68,6.5,6,10.1,209,82.6,,44,260,7.1,5.61,5.19,1,1,7,
