Year,Age,Tm,Pos,No.,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,AV,Awards
2006,25,CIN,LT,77,16,12,,,,,,,,,,,0,,,,,,,7,
2007,26,CIN,LG,77,16,16,,,,,,0,0,1,0,0,0,,,,,,,9,
2008,27,CIN,LG,77,10,10,,,,,,,,,,,0,,,,,,,3,
2009,28,CIN,LT,77,16,16,,,,,,0,0,2,0,0,0,,,,,,,7,
2010,29,CIN,LT,77,16,16,,,,,,0,0,1,0,0,0,,,,,,,8,
2011,30,CIN,LT,77,16,16,,,,,,,,,,,0,,,,,,,7,
2012*,31,CIN,LT,77,16,16,,,,,,,,,,,0,,,,,,,10,PB
2013,32,CIN,LT,77,14,14,,,,,,0,0,1,0,0,0,,,,,,,8,
2014,33,CIN,LT,77,16,16,,,,,,,,,,,0,,,,,,,12,AP2
2015*+,34,CIN,LT,77,16,16,,,,,,,,,,,0,,,,,,,16,AP1 PB
2016*,35,CIN,LT,77,16,16,,,,,,,,,,,0,,,,,,,9,PB
2017*+,36,LAR,LT,77,15,15,,,,,,0,0,2,0,0,0,,,,,,,14,AP1 PB
2018,37,LAR,LT,77,16,16,,,,,,,,,,,0,,,,,,,11,
2019,38,LAR,LT,77,16,16,,,,,,,,,,,0,,,,,,,8,
2020,39,LAR,LT,77,9,9,,,,,,,,,,,0,,,,,,,4,
2021,40,LAR,LT,77,15,15,,,,,,0,0,1,0,0,0,,,,,,,9,
Career,,,,,239,235,,,,,,0,0,8,0,0,0,,,,,,,142,
11 yrs,,CIN,,,168,164,,,,,,0,0,5,0,0,0,,,,,,,96,
5 yrs,,LAR,,,71,71,,,,,,0,0,3,0,0,0,,,,,,,46,
