Year,Age,Tm,Pos,No.,G,GS,Tgt,Rec,Yds,Y/R,TD,Lng,R/G,Y/G,Ctch%,Y/Tgt,Rush,Yds,TD,Lng,Y/A,Y/G,A/G,Touch,Y/Tch,YScm,RRTD,Fmb,AV,Awards
1980,22,CIN,LT,78,16,16,,1,-6,-6,0,-6,0.1,-0.4,,,,,,,,,,1,-6,-6,0,0,6,
1981*+,23,CIN,LT,78,16,16,,0,0,,0,0,0,0,,,,,,,,,,0,,0,0,,17,AP OPoY-8 AP1 PB
1982*+,24,CIN,LT,78,9,9,,0,0,,0,0,0,0,,,,,,,,,,0,,0,0,,19,AP1 PB
1983*+,25,CIN,LT,78,16,15,,0,0,,0,0,0,0,,,,,,,,,,0,,0,0,,15,AP1 PB
1984*,26,CIN,LT,78,16,16,,1,1,1,1,1,0.1,0.1,,,,,,,,,,1,1,1,1,0,13,AP2 PB
1985*+,27,CIN,LT,78,16,16,,1,1,1,0,1,0.1,0.1,,,,,,,,,,1,1,1,0,0,20,AP1 PB
1986*+,28,CIN,LT,78,16,16,,2,7,3.5,2,5,0.1,0.4,,,,,,,,,,2,3.5,7,2,0,18,AP1 PB
1987*+,29,CIN,LT,78,11,11,,2,15,7.5,1,12,0.2,1.4,,,,,,,,,,2,7.5,15,1,0,11,AP1 PB
1988*+,30,CIN,LT,78,16,16,,0,0,,0,0,0,0,,,,,,,,,,0,,0,0,0,18,AP1 PB
1989*+,31,CIN,LT,78,16,16,,0,0,,0,0,0,0,,,,,,,,,,0,,0,0,0,16,AP1 PB
1990*+,32,CIN,LT,78,16,16,,0,0,,0,0,0,0,,,,,,,,,,0,,0,0,,15,AP1 PB
1991*,33,CIN,LT,78,13,13,,0,0,,0,0,0,0,,,,,,,,,,0,,0,0,0,9,AP2 PB
1992,34,CIN,LT,78,8,8,,0,0,,0,0,0,0,0.00%,,,,,,,,,0,,0,0,,4,
Career,,,,,185,184,,7,18,2.6,4,12,0,0.1,0%,,,,,,,,,7,2.6,18,4,0,181,
