Year,Age,Tm,Pos,No.,G,GS,Tgt,Rec,Yds,Y/R,TD,1D,Lng,R/G,Y/G,Ctch%,Y/Tgt,Rush,Yds,TD,1D,Lng,Y/A,Y/G,A/G,Touch,Y/Tch,YScm,RRTD,Fmb,AV,Awards
2010,22,PIT,wr,84,9,0,19,16,167,10.4,0,11,26,1.8,18.6,84.20%,8.8,,,,,,,,,16,10.4,167,0,1,2,
2011*,23,PIT,wr,84,16,3,124,69,1108,16.1,2,57,79,4.3,69.3,55.60%,8.9,7,41,0,2,10,5.9,2.6,0.4,76,15.1,1149,2,0,10,PB
2012,24,PIT,WR,84,13,10,106,66,787,11.9,5,43,60,5.1,60.5,62.30%,7.4,7,24,0,2,13,3.4,1.8,0.5,73,11.1,811,5,4,6,
2013*,25,PIT,WR,84,16,14,167,110,1499,13.6,8,70,56,6.9,93.7,65.90%,9,7,4,0,2,10,0.6,0.3,0.4,117,12.8,1503,8,1,14,AP2 PB
2014*+,26,PIT,WR,84,16,16,181,129,1698,13.2,13,87,63,8.1,106.1,71.30%,9.4,4,13,0,0,9,3.3,0.8,0.3,133,12.9,1711,13,2,16,AP OPoY-3 AP1 PB
2015*+,27,PIT,WR,84,16,16,193,136,1834,13.5,10,84,59,8.5,114.6,70.50%,9.5,3,28,0,1,16,9.3,1.8,0.2,139,13.4,1862,10,3,17,AP OPoY-2 AP1 PB
2016*+,28,PIT,WR,84,15,15,154,106,1284,12.1,12,64,51,7.1,85.6,68.80%,8.3,3,9,0,1,13,3,0.6,0.2,109,11.9,1293,12,0,12,AP1 PB
2017*+,29,PIT,WR,84,14,14,163,101,1533,15.2,9,69,57,7.2,109.5,62.00%,9.4,,,,,,,,,101,15.2,1533,9,4,14,AP OPoY-2 AP1 PB
2018*,30,PIT,WR,84,15,15,168,104,1297,12.5,15,63,78,6.9,86.5,61.90%,7.7,,,,,,,,,104,12.5,1297,15,0,10,PB
2019,31,NWE,wr,17,1,0,8,4,56,14,1,3,20,4,56,50.00%,7,1,5,0,1,5,5,5,1,5,12.2,61,1,0,1,
2020,32,TAM,wr,81,8,4,62,45,483,10.7,4,27,46,5.6,60.4,72.60%,7.8,2,-2,0,0,1,-1,-0.3,0.3,47,10.2,481,4,0,5,
2021,33,TAM,wr,81,7,3,62,42,545,13,4,29,62,6,77.9,67.70%,8.8,1,6,0,0,6,6,0.9,0.1,43,12.8,551,4,0,5,
Career,,,,,146,110,1407,928,12291,13.2,83,607,79,6.4,84.2,66.00%,8.7,35,128,0,9,16,3.7,0.9,0.2,963,12.9,12419,83,15,112,
9 yrs,,PIT,,,130,103,1275,837,11207,13.4,74,548,79,6.4,86.2,65.60%,8.8,31,119,0,8,16,3.8,0.9,0.2,868,13,11326,74,15,101,
2 yrs,,TAM,,,15,7,124,87,1028,11.8,8,56,62,5.8,68.5,70.20%,8.3,3,4,0,0,6,1.3,0.3,0.2,90,11.5,1032,8,0,10,
1 yr,,NWE,,,1,0,8,4,56,14,1,3,20,4,56,50.00%,7,1,5,0,1,5,5,5,1,5,12.2,61,1,0,1,
