Year,Age,Tm,Pos,No.,G,GS,Tgt,Rec,Yds,Y/R,TD,1D,Lng,R/G,Y/G,Ctch%,Y/Tgt,Rush,Yds,TD,1D,Lng,Y/A,Y/G,A/G,Touch,Y/Tch,YScm,RRTD,Fmb,AV,Awards
2003,23,SDG,TE,85,15,11,42,24,389,16.2,2,19,48,1.6,25.9,57.10%,9.3,,,,,,,,,24,16.2,389,2,1,4,
2004*+,24,SDG,TE,85,15,15,114,81,964,11.9,13,55,72,5.4,64.3,71.10%,8.5,,,,,,,,,81,11.9,964,13,0,13,AP1 PB
2005*+,25,SDG,TE,85,15,15,140,89,1101,12.4,10,62,38,5.9,73.4,63.60%,7.9,,,,,,,,,89,12.4,1101,10,0,13,AP1 PB
2006*+,26,SDG,TE,85,16,16,120,71,924,13,9,49,57,4.4,57.8,59.20%,7.7,,,,,,,,,71,13,924,9,0,14,AP1 PB
2007*,27,SDG,TE,85,16,16,117,75,984,13.1,9,55,49,4.7,61.5,64.10%,8.4,,,,,,,,,75,13.1,984,9,0,11,PB
2008*,28,SDG,TE,85,16,16,92,60,704,11.7,8,39,34,3.8,44,65.20%,7.7,,,,,,,,,60,11.7,704,8,1,8,PB
2009*,29,SDG,TE,85,16,16,114,79,1157,14.6,8,61,56,4.9,72.3,69.30%,10.1,,,,,,,,,79,14.6,1157,8,1,14,AP2 PB
2010*,30,SDG,TE,85,10,10,65,50,782,15.6,10,42,48,5,78.2,76.90%,12,,,,,,,,,50,15.6,782,10,0,8,AP2 PB
2011*,31,SDG,TE,85,13,13,88,64,778,12.2,7,45,38,4.9,59.8,72.70%,8.8,,,,,,,,,64,12.2,778,7,0,8,PB
2012,32,SDG,TE,85,15,15,80,49,538,11,7,30,34,3.3,35.9,61.30%,6.7,,,,,,,,,49,11,538,7,0,4,
2013,33,SDG,TE,85,16,15,114,77,872,11.3,4,49,56,4.8,54.5,67.50%,7.6,,,,,,,,,77,11.3,872,4,2,8,
2014,34,SDG,TE,85,16,14,98,69,821,11.9,12,44,34,4.3,51.3,70.40%,8.4,,,,,,,,,69,11.9,821,12,1,7,
2015,35,SDG,te,85,11,4,85,56,630,11.3,5,33,40,5.1,57.3,65.90%,7.4,,,,,,,,,56,11.3,630,5,0,4,
2016,36,SDG,te,85,14,9,93,53,548,10.3,7,34,27,3.8,39.1,57.00%,5.9,,,,,,,,,53,10.3,548,7,1,5,
2017,37,LAC,te,85,16,4,52,30,316,10.5,3,16,27,1.9,19.8,57.70%,6.1,,,,,,,,,30,10.5,316,3,0,3,
2018,38,LAC,te,85,16,1,45,28,333,11.9,2,25,27,1.8,20.8,62.20%,7.4,,,,,,,,,28,11.9,333,2,1,3,
Career,,,,,236,190,1459,955,11841,12.4,116,658,72,4,50.2,65.50%,8.1,,,,,,,,,955,12.4,11841,116,8,127,
