Year,Age,Tm,Pos,No.,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Sfty,AV,Awards
1968,22,OAK,t,78,14,0,,,,,,,1,0,0,0,0,,4,
1969,23,OAK,t,78,14,1,,,,,,,,,,,0,,1,
1970,24,OAK,LT,78,14,14,,,,,,,0,1,0,0,0,,6,
1971,25,OAK,LT,78,14,14,,,,,,,0,1,0,0,0,,8,
1972*,26,OAK,LT,78,14,14,,,,,,,,,,,0,,9,PB
1973*,27,OAK,LT,78,14,14,,,,,,,,,,,0,,10,PB
1974*+,28,OAK,LT,78,14,14,,,,,,,,,,,0,,14,AP1 PB
1975*,29,OAK,LT,78,14,14,,,,,,,,,,,0,,12,AP2 PB
1976*,30,OAK,LT,78,14,14,,,,,,,,,,,0,,11,PB
1977*+,31,OAK,LT,78,14,14,,,,,,,,,,,0,,16,AP1 PB
1978*,32,OAK,LT,78,16,16,,,,,,,0,2,0,0,0,,11,AP2 PB
1979,33,OAK,LT,78,11,11,,,,,,,0,1,5,0,0,,5,
1980*,34,OAK,LT,78,16,16,,,,,,,0,3,0,0,0,,9,PB
1981,35,OAK,LT,78,16,13,,,,,,,,,,,0,,5,
1982,36,RAI,t,78,8,0,,,,,,,,,,,0,,1,
Career,,,,,207,169,,,,,,,1,8,5,0,0,,122,
