Year,Age,Tm,Pos,No.,G,GS,Rush,Yds,TD,1D,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds,Y/R,TD,1D,Lng,R/G,Y/G,Ctch%,Y/Tgt,Touch,Y/Tch,YScm,RRTD,Fmb,AV,Awards
1989*+,21,DET,RB,20,15,13,280,1470,14,,34,5.3,98,18.7,,24,282,11.8,0,,46,1.6,18.8,,,304,5.8,1752,14,10,14,AP ORoY-1 AP1 PB
1990*+,22,DET,RB,20,16,16,255,1304,13,,45,5.1,81.5,15.9,,36,480,13.3,3,,47,2.3,30,,,291,6.1,1784,16,4,16,AP OPoY-3 AP1 PB
1991*+,23,DET,RB,20,15,15,342,1548,16,,69,4.5,103.2,22.8,,41,307,7.5,1,,34,2.7,20.5,,,383,4.8,1855,17,5,15,AP MVP-3 AP OPoY-3 AP1 PB
1992*,24,DET,RB,20,16,16,312,1352,9,,55,4.3,84.5,19.5,40,29,225,7.8,1,,48,1.8,14.1,72.50%,5.6,341,4.6,1577,10,6,12,AP2 PB
1993*,25,DET,RB,20,11,11,243,1115,3,,42,4.6,101.4,22.1,48,36,205,5.7,0,,17,3.3,18.6,75.00%,4.3,279,4.7,1320,3,3,10,AP2 PB
1994*+,26,DET,RB,20,16,16,331,1883,7,76,85,5.7,117.7,20.7,65,44,283,6.4,1,16,22,2.8,17.7,67.70%,4.4,375,5.8,2166,8,0,20,AP MVP-2 AP OPoY-1 AP1 PB
1995*+,27,DET,RB,20,16,16,314,1500,11,72,75,4.8,93.8,19.6,70,48,398,8.3,1,17,40,3,24.9,68.60%,5.7,362,5.2,1898,12,3,16,AP OPoY-5 AP1 PB
1996*,28,DET,RB,20,16,16,307,1553,11,81,54,5.1,97.1,19.2,32,24,147,6.1,0,6,28,1.5,9.2,75.00%,4.6,331,5.1,1700,11,4,14,AP2 PB
1997*+,29,DET,RB,20,16,16,335,2053,11,86,82,6.1,128.3,20.9,50,33,305,9.2,3,12,66,2.1,19.1,66.00%,6.1,368,6.4,2358,14,3,19,AP MVP-1 AP OPoY-1 AP1 PB
1998*,30,DET,RB,20,16,16,343,1491,4,65,73,4.3,93.2,21.4,57,37,289,7.8,0,10,44,2.3,18.1,64.90%,5.1,380,4.7,1780,4,3,13,AP2 PB
Career,,,,,153,151,3062,15269,99,380,85,5,99.8,20,362,352,2921,8.3,10,61,66,2.3,19.1,69.30%,5.1,3414,5.3,18190,109,41,149,
