Year,Age,Tm,Pos,No.,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,Sk%,NY/A,ANY/A,4QC,GWD,AV,Awards
1956,22,GNB,qb,15,9,1,0-1-0,24,44,54.5,325,2,4.5,3,6.8,39,7.4,5.2,13.5,36.1,65.1,,,,,,,,,
1957,23,GNB,QB,15,12,11,3-8-0,117,215,54.4,1489,8,3.7,10,4.7,77,6.9,5.6,12.7,124.1,69.3,,,,,,0,0,,
1958,24,GNB,QB,15,12,7,0-6-1,78,157,49.7,875,3,1.9,12,7.6,55,5.6,2.5,11.2,72.9,41.2,,,,,,,,,
1959,25,GNB,qb,15,12,5,4-1-0,70,134,52.2,972,6,4.5,7,5.2,44,7.3,5.8,13.9,81,69,,,,,,,,,
1960*,26,GNB,QB,15,12,8,4-4-0,98,172,57,1358,4,2.3,8,4.7,91,7.9,6.3,13.9,113.2,70.8,,,,,,1,1,9,PB
1961*,27,GNB,QB,15,14,14,11-3-0,172,295,58.3,2418,16,5.4,16,5.4,78,8.2,6.8,14.1,172.7,80.3,,,,,,3,3,15,PB
1962*,28,GNB,QB,15,14,14,13-1-0,178,285,62.5,2438,12,4.2,9,3.2,83,8.6,8,13.7,174.1,90.7,,,,,,3,3,15,AP2 PB
1963,29,GNB,QB,15,13,10,8-1-1,132,244,54.1,1855,15,6.1,10,4.1,53,7.6,7,14.1,142.7,82.3,11,109,4.3,6.85,6.26,1,1,10,
1964,30,GNB,QB,15,14,14,8-5-1,163,272,59.9,2144,15,5.5,4,1.5,73,7.9,8.3,13.2,153.1,97.1,43,332,13.7,5.75,6.13,2,1,13,AP2
1965,31,GNB,QB,15,14,14,10-3-1,140,251,55.8,2055,16,6.4,9,3.6,77,8.2,7.8,14.7,146.8,89,34,303,11.9,6.15,5.85,2,1,12,
1966*+,32,GNB,QB,15,14,13,11-2-0,156,251,62.2,2257,14,5.6,3,1.2,83,9,9.6,14.5,161.2,105,26,183,9.4,7.49,8.01,1,1,12,AP MVP-1 UPI MVP-1 AP1 PB
1967,33,GNB,QB,15,14,12,8-3-1,115,210,54.8,1823,9,4.3,17,8.1,84,8.7,5.9,15.9,130.2,64.4,34,322,13.9,6.15,3.75,1,2,8,
1968,34,GNB,QB,15,12,9,4-5-0,109,171,63.7,1617,15,8.8,8,4.7,63,9.5,9.1,14.8,134.8,104.3,29,261,14.5,6.78,6.48,1,0,9,
1969,35,GNB,QB,15,12,9,4-5-0,92,148,62.2,1161,9,6.1,6,4.1,51,7.8,7.2,12.6,96.8,89.9,24,217,14,5.49,4.97,1,2,5,
1970,36,GNB,QB,15,14,13,6-7-0,140,255,54.9,1645,8,3.1,13,5.1,65,6.5,4.8,11.8,117.5,63.9,29,252,10.2,4.9,3.41,2,2,5,
1971,37,GNB,qb,15,4,3,0-2-1,24,45,53.3,286,0,0,3,6.7,31,6.4,3.4,11.9,71.5,45.2,6,64,11.8,4.35,1.71,,,2,
Career,,,,,196,157,94-57-6,1808,3149,57.4,24718,152,4.8,138,4.4,91,7.8,6.8,13.7,126.1,80.5,236,2043,7,6.7,5.76,18,17,115,
