Year,Age,Tm,Pos,No.,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds,Sk%,NY/A,ANY/A,4QC,GWD,AV,Awards
2004,22,PIT,QB,7,14,13,13-0-0,196,295,66.4,2621,17,5.8,11,3.7,130,58,8.9,8.4,13.4,187.2,98.1,,30,213,9.2,7.41,6.93,4,5,12,AP ORoY-1
2005,23,PIT,QB,7,12,12,9-3-0,168,268,62.7,2385,17,6.3,9,3.4,110,85,8.9,8.7,14.2,198.8,98.6,,23,129,7.9,7.75,7.53,2,2,11,
2006,24,PIT,QB,7,15,15,7-8-0,280,469,59.7,3513,18,3.8,23,4.9,178,67,7.5,6.1,12.5,234.2,75.4,58,46,280,8.9,6.28,4.97,2,3,11,
2007*,25,PIT,QB,7,15,15,10-5-0,264,404,65.3,3154,32,7.9,11,2.7,167,83,7.8,8.2,11.9,210.3,104.1,70.5,47,347,10.4,6.22,6.55,1,2,14,AP CPoY-3 PB
2008,26,PIT,QB,7,16,16,12-4-0,281,469,59.9,3301,17,3.6,15,3.2,162,65,7,6.3,11.7,206.3,80.1,47.1,46,284,8.9,5.86,5.21,4,4,11,
2009,27,PIT,QB,7,15,15,9-6-0,337,506,66.6,4328,26,5.1,12,2.4,201,60,8.6,8.5,12.8,288.5,100.5,69,50,348,9,7.16,7.12,2,3,14,
2010,28,PIT,QB,7,12,12,9-3-0,240,389,61.7,3200,17,4.4,5,1.3,149,56,8.2,8.5,13.3,266.7,97,67.4,32,220,7.6,7.08,7.35,2,3,12,
2011*,29,PIT,QB,7,15,15,11-4-0,324,513,63.2,4077,21,4.1,14,2.7,210,95,7.9,7.5,12.6,271.8,90.1,68.3,40,269,7.2,6.89,6.51,1,1,12,PB
2012,30,PIT,QB,7,13,13,7-6-0,284,449,63.3,3265,26,5.8,8,1.8,167,82,7.3,7.6,11.5,251.2,97,71.3,30,182,6.3,6.44,6.77,2,3,10,
2013,31,PIT,QB,7,16,16,8-8-0,375,584,64.2,4261,28,4.8,14,2.4,211,67,7.3,7.2,11.4,266.3,92,58,42,282,6.7,6.36,6.24,1,3,13,
2014*,32,PIT,QB,7,16,16,11-5-0,408,608,67.1,4952,32,5.3,9,1.5,244,94,8.1,8.5,12.1,309.5,103.3,68.7,33,172,5.1,7.46,7.82,2,3,16,PB
2015*,33,PIT,QB,7,12,11,7-4-0,319,469,68,3938,21,4.5,16,3.4,175,69,8.4,7.8,12.3,328.2,94.5,72.8,20,141,4.1,7.76,7.15,1,1,12,PB
2016*,34,PIT,QB,7,14,14,10-4-0,328,509,64.4,3819,29,5.7,13,2.6,184,72,7.5,7.5,11.6,272.8,95.4,60.5,17,141,3.2,6.99,6.98,2,2,12,PB
2017*,35,PIT,QB,7,15,15,12-3-0,360,561,64.2,4251,28,5,14,2.5,204,97,7.6,7.5,11.8,283.4,93.4,66.6,21,139,3.6,7.07,6.95,3,4,14,PB
2018,36,PIT,QB,7,16,16,9-6-1,452,675,67,5129,34,5,16,2.4,248,97,7.6,7.5,11.3,320.6,96.5,69.6,24,166,3.4,7.1,7.04,2,3,14,
2019,37,PIT,QB,7,2,2,0-2-0,35,62,56.5,351,0,0,1,1.6,14,45,5.7,4.9,10,175.5,66,28.8,2,7,3.1,5.38,4.67,,,1,
2020,38,PIT,QB,7,15,15,12-3-0,399,608,65.6,3803,33,5.4,10,1.6,193,84,6.3,6.6,9.5,253.5,94.1,52.5,13,118,2.1,5.93,6.27,4,4,10,AP CPoY-2
2021,39,PIT,QB,7,16,16,9-7-0,390,605,64.5,3740,22,3.6,10,1.7,188,59,6.2,6.2,9.6,233.8,86.8,35.6,38,239,5.9,5.44,5.43,6,7,9,
Career,,,,,249,247,165-81-1,5440,8443,64.4,64088,418,5,211,2.5,3135,97,7.6,7.5,11.8,257.4,93.5,,554,3677,6.2,6.71,6.59,41,53,208,
