Year,Age,Tm,Pos,No.,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,Sk%,NY/A,ANY/A,4QC,GWD,AV,Awards
1967*,22,MIA,QB,12,12,10,3-7-0,166,331,50.2,2005,15,4.5,18,5.4,68,6.1,4.5,12.1,167.1,61.6,0,0,0,6.06,4.52,1,2,8,AP AFL ORoY-2 PB
1968*,23,MIA,QB,12,13,13,5-7-1,186,355,52.4,2473,21,5.9,16,4.5,50,7,6.1,13.3,190.2,75.7,0,0,0,6.97,6.12,2,2,12,PB
1969,24,MIA,QB,12,9,9,2-6-1,121,252,48,1695,10,4,16,6.3,53,6.7,4.7,14,188.3,56.9,33,289,11.6,4.93,3.11,1,0,5,
1970*,25,MIA,QB,12,14,14,10-4-0,142,245,58,2019,12,4.9,17,6.9,54,8.2,6.1,14.2,144.2,72.1,31,282,11.2,6.29,4.39,0,1,12,PB
1971*+,26,MIA,QB,12,14,13,9-3-1,145,263,55.1,2089,19,7.2,9,3.4,86,7.9,7.8,14.4,149.2,90.9,23,248,8,6.44,6.35,2,2,16,AP MVP-4 AP1 PB
1972,27,MIA,qb,12,6,5,5-0-0,53,97,54.6,638,4,4.1,4,4.1,39,6.6,5.5,12,106.3,71.6,7,45,6.7,5.7,4.74,1,1,4,
1973*,28,MIA,QB,12,13,13,12-1-0,116,218,53.2,1422,17,7.8,8,3.7,46,6.5,6.4,12.3,109.4,84.3,11,75,4.8,5.88,5.79,1,1,11,PB
1974*,29,MIA,QB,12,13,13,10-3-0,152,253,60.1,1968,16,6.3,15,5.9,54,7.8,6.4,12.9,151.4,80.9,27,202,9.6,6.31,5.04,2,3,12,PB
1975,30,MIA,QB,12,10,10,7-3-0,118,191,61.8,1693,14,7.3,13,6.8,79,8.9,7.3,14.3,169.3,86.6,16,131,7.7,7.55,6.07,2,2,11,
1976,31,MIA,QB,12,13,13,5-8-0,162,272,59.6,2097,11,4,12,4.4,47,7.7,6.5,12.9,161.3,78.9,30,266,9.9,6.06,5,0,1,12,
1977*+,32,MIA,QB,12,14,14,10-4-0,180,307,58.6,2252,22,7.2,13,4.2,73,7.3,6.9,12.5,160.9,87.8,36,303,10.5,5.68,5.26,,,15,AP MVP-2 AP OPoY-2 AP1 PB
1978*,33,MIA,QB,12,11,9,6-3-0,148,235,63,1791,11,4.7,11,4.7,63,7.6,6.5,12.1,162.8,82.4,18,165,7.1,6.43,5.34,0,1,9,PB
1979,34,MIA,QB,12,14,12,7-5-0,176,310,56.8,2160,14,4.5,16,5.2,51,7,5.5,12.3,154.3,72,26,223,7.7,5.76,4.46,1,1,9,
1980,35,MIA,qb,12,5,3,1-2-0,61,100,61,790,6,6,4,4,54,7.9,7.3,13,158,89.2,9,89,8.3,6.43,5.88,2,2,2,
Career,,,,,161,151,92-56-3,1926,3429,56.2,25092,192,5.6,172,5,86,7.3,6.2,13,155.9,77.1,267,2318,7.2,6.16,5.11,15,19,138,
