Year,Age,Tm,Pos,No.,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Sfty,AV,Awards
1961,22,DAL,LDE,74,14,14,,,,,,,0,1,0,0,5.5,,6,
1962*,23,DAL,LDE,74,14,14,,,,,,,0,1,0,0,9,,7,PB
1963,24,DAL,LDE/RDT,74,14,14,,,,,,,0,1,42,1,5,,7,
1964*+,25,DAL,RDT,74,14,14,,,,,,,1,3,4,0,10.5,,16,AP1 PB
1965*+,26,DAL,RDT,74,14,14,1,17,1,17,,,0,2,41,0,8,,12,AP1 PB
1966*+,27,DAL,RDT,74,14,14,,,,,,,0,1,0,0,15,,15,AP MVP-7 AP1 PB
1967*+,28,DAL,RDT,74,14,14,,,,,,,,,,,6.5,,12,AP1 PB
1968*+,29,DAL,RDT,74,14,14,,,,,,,0,1,0,0,12.5,,14,AP MVP-4 AP1 PB
1969*+,30,DAL,RDT,74,14,14,,,,,,,0,2,9,1,5,,13,UPI MVP-7 AP1 PB
1970*,31,DAL,RDT,74,14,14,,,,,,,,,,,5.5,,10,PB
1971*+,32,DAL,RDT,74,14,14,,,,,,,0,1,7,1,5,,12,AP MVP-9 AP DPoY-2 AP1 PB
1972*,33,DAL,RDT,74,14,14,,,,,,,0,1,0,0,2.5,,11,AP DPoY-4 AP2 PB
1973*,34,DAL,RDT,74,14,14,,,,,,,0,2,6,0,4.5,,11,PB
1974,35,DAL,RDT,74,14,14,,,,,,,0,2,0,0,1,,7,
Career,,,,,196,196,1,17,1,17,,,1,18,109,3,95.5,,153,
