Year,Age,Tm,Pos,No.,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Sfty,AV,Awards
1963,23,KAN,LDE,78,14,11,1,20,0,20,,,,,,,4.5,,7,UPI AFL RoY-3
1964*,24,KAN,LDE,78,14,14,1,4,0,4,,,,,,,7.5,,10,AP2 PB
1965*+,25,KAN,LLB,78,14,14,4,73,1,38,,,1,0,0,0,7,,12,AP1 PB
1966*+,26,KAN,LLB,78,14,14,2,14,0,13,,,,,,,2.5,,12,AP1 PB
1967*+,27,KAN,LLB,78,14,12,4,82,1,32,,,0,2,0,0,3.5,,15,AP1 PB
1968*+,28,KAN,LLB,78,14,14,5,95,0,50,,,0,2,0,0,2.5,,16,AP1 PB
1969*+,29,KAN,LLB,78,14,14,,,,,,,0,3,0,0,5,,17,AP1 PB
1970*+,30,KAN,LLB,78,14,14,3,57,1,45,,,0,1,0,0,2,,12,AP1 PB
1971*,31,KAN,LLB,78,14,14,1,26,1,26,,,,,,,1.5,,9,PB
1972*,32,KAN,LLB,78,14,14,3,56,1,61,,,0,1,0,0,3.5,,11,PB
1973,33,KAN,LLB,78,14,14,1,24,0,24,,,,,,,0.5,,9,
1974,34,KAN,LLB,78,14,10,1,28,1,28,,,,,,,0,,4,
Career,,,,,168,159,26,479,6,61,,,1,9,0,2,40,,134,
