Year,Age,Tm,Pos,No.,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Sfty,AV,Awards
1960,23,BAL,LCB,40,11,11,7,132,0,74,,,,,,,0,,7,
1961,24,BAL,LCB,40,14,14,2,0,0,0,,,,,,,0,,6,
1962,25,BAL,LCB,40,14,14,7,163,0,38,,,1,4,16,0,0.5,,11,
1963,26,BAL,LCB,40,12,12,3,17,0,9,,,0,2,34,1,0,,8,
1964*+,27,BAL,LCB,40,14,12,9,185,0,47,,,0,1,0,0,0,,18,AP1 PB
1965+,28,BAL,LCB,40,14,14,9,78,1,24,,,1,2,17,0,0,,17,AP1
1966,29,BAL,LCB,40,14,14,6,114,1,37,,,0,1,0,0,0,,14,AP2
1967,30,BAL,LCB,40,14,11,6,145,1,41,,,0,1,0,0,0,,9,
1968*+,31,BAL,LCB,40,14,13,8,160,1,49,,,0,1,0,0,0,,21,AP1 PB
Career,,,,,121,115,57,994,4,74,,,2,12,67,1,0.5,,111,
