Year,Age,Tm,Pos,No.,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,AV,Awards
2012,22,SEA,MLB,54,16,15,3,55,0,45,4,,,,,,2,140,87,53,9,5,,10,AP DRoY-2
2013,23,SEA,MLB,54,14,14,2,9,0,9,7,0,0,1,0,0,5,120,72,48,4,6,,9,
2014*+,24,SEA,MLB,54,11,11,0,0,0,0,3,,,,,,2,104,67,37,10,6,,13,AP MVP-5 AP1 PB
2015*,25,SEA,MLB,54,15,15,0,0,0,0,7,2,0,3,45,2,0.5,114,67,47,2,4,,14,AP2 PB
2016*+,26,SEA,MLB,54,16,16,1,9,0,9,3,0,0,1,0,0,4.5,167,85,82,7,18,,17,AP1 PB
2017*+,27,SEA,MLB,54,16,16,2,7,0,7,6,0,1,1,21,1,1.5,133,97,36,13,13,1,16,AP DPoY-4 AP1 PB
2018*+,28,SEA,MLB,54,15,15,1,98,1,98,11,2,0,1,11,0,1,138,84,54,6,8,,17,AP1 PB
2019*+,29,SEA,MLB,54,16,16,1,6,0,6,6,1,0,1,5,0,3,159,86,73,7,4,,14,AP1 PB
2020*+,30,SEA,RILB,54,16,16,0,0,0,0,8,0,0,1,0,0,3,138,81,57,7,11,,14,AP1 PB
2021*,31,SEA,LILB,54,16,16,1,3,0,3,5,1,0,0,0,0,1,170,93,77,3,3,,13,AP2 PB
2022,32,LAR,LB,45,6,6,0,0,0,0,1,,,,,,2,46,28,18,2,4,,,
Career,,,,,157,156,11,187,1,98,61,6,1,9,82,3,25.5,1429,847,582,70,82,1,137,
10 yrs,,SEA,,,151,150,11,187,1,98,60,6,1,9,82,3,23.5,1383,819,564,68,78,1,137,
1 yr,,LAR,,,6,6,0,0,0,0,1,,,,,,2,46,28,18,2,4,,,
