Year,Age,Tm,Pos,No.,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,Sk%,NY/A,ANY/A,4QC,GWD,AV,Awards
1984,23,CIN,qb,7,10,4,3-1-0,51,102,50,530,3,2.9,3,2.9,,36,5.2,4.5,10.4,53,62.9,5,52,4.7,4.47,3.77,1,1,2,
1985,24,CIN,QB,7,15,14,7-7-0,251,431,58.2,3443,27,6.3,12,2.8,,68,8,8,13.7,229.5,93.2,32,289,6.9,6.81,6.81,1,1,14,
1986*,25,CIN,QB,7,16,16,10-6-0,273,469,58.2,3959,24,5.1,17,3.6,,57,8.4,7.8,14.5,247.4,87.7,26,194,5.3,7.61,7.03,3,4,15,PB
1987,26,CIN,QB,7,12,12,3-9-0,240,440,54.5,3321,16,3.6,19,4.3,,61,7.5,6.3,13.8,276.8,73.1,26,209,5.6,6.68,5.53,3,3,11,
1988*+,27,CIN,QB,7,16,16,12-4-0,223,388,57.5,3572,28,7.2,14,3.6,,86,9.2,9,16,223.3,97.4,30,245,7.2,7.96,7.79,3,4,19,AP MVP-1 AP OPoY-2 AP1 PB
1989*,28,CIN,QB,7,16,15,7-8-0,258,455,56.7,3525,28,6.2,11,2.4,,74,7.7,7.9,13.7,220.3,92.1,36,288,7.3,6.59,6.73,0,1,15,PB
1990,29,CIN,QB,7,16,16,9-7-0,224,402,55.7,3031,24,6,22,5.5,,53,7.5,6.3,13.5,189.4,77,31,198,7.2,6.54,5.36,2,4,13,
1991,30,CIN,QB,7,14,14,3-11-0,233,413,56.4,2883,13,3.1,16,3.9,,53,7,5.9,12.4,205.9,72.5,25,190,5.7,6.15,5.1,2,2,8,
1992,31,CIN,QB,7,12,11,4-7-0,144,278,51.8,1407,11,4,15,5.4,,38,5.1,3.4,9.8,117.3,57,19,150,6.4,4.23,2.7,1,2,3,
1993*,32,NYJ,QB,7,16,16,8-8-0,288,473,60.9,3421,16,3.4,11,2.3,,77,7.2,6.9,11.9,213.8,84.5,18,139,3.7,6.68,6.33,,,12,PB
1994,33,NYJ,QB,7,15,14,5-9-0,255,440,58,2782,17,3.9,13,3,136,69,6.3,5.8,10.9,185.5,77.3,19,134,4.1,5.77,5.24,1,2,8,
1995,34,NYJ,QB,7,12,12,2-10-0,221,389,56.8,2275,16,4.1,15,3.9,118,43,5.8,4.9,10.3,189.6,71.4,27,198,6.5,4.99,4.14,,,3,
1996,35,ARI,QB,7,10,8,3-5-0,190,339,56,2293,11,3.2,14,4.1,117,64,6.8,5.6,12.1,229.3,70.6,17,109,4.8,6.13,4.98,2,2,7,
1997,36,CIN,qb,7,7,5,4-1-0,118,186,63.4,1478,13,7,2,1.1,76,77,7.9,8.9,12.5,211.1,106.9,7,43,3.6,7.44,8.32,,,7,
Career,,,,,187,173,80-93-0,2969,5205,57,37920,247,4.7,184,3.5,447,86,7.3,6.6,12.8,202.8,81.1,318,2438,5.8,6.42,5.82,19,26,137,
10 yrs,,CIN,,,134,123,62-61-0,2015,3564,56.5,27149,187,5.2,131,3.7,76,86,7.6,7,13.5,202.6,83.1,237,1858,6.2,6.65,6.09,16,22,107,
3 yrs,,NYJ,,,43,42,15-27-0,764,1302,58.7,8478,49,3.8,39,3,254,77,6.5,5.9,11.1,197.2,78.2,64,471,4.7,5.86,5.29,1,2,23,
1 yr,,ARI,,,10,8,3-5-0,190,339,56,2293,11,3.2,14,4.1,117,64,6.8,5.6,12.1,229.3,70.6,17,109,4.8,6.13,4.98,2,2,7,
