Year,Age,Tm,Pos,No.,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds,Sk%,NY/A,ANY/A,4QC,GWD,AV,Awards
1991,22,ATL,QB,4,2,0,,0,4,0,0,0,0,2,50,,0,0,-22.5,,0,0,,1,11,20,-2.2,-20.2,,,0,
1992*,23,GNB,QB,4,15,13,8-5-0,302,471,64.1,3227,18,3.8,13,2.8,,76,6.9,6.4,10.7,215.1,85.3,,34,208,6.7,5.98,5.53,3,3,13,PB
1993*,24,GNB,QB,4,16,16,9-7-0,318,522,60.9,3303,19,3.6,24,4.6,,66,6.3,5,10.4,206.4,72.2,,30,199,5.4,5.62,4.36,3,3,13,PB
1994,25,GNB,QB,4,16,16,9-7-0,363,582,62.4,3882,33,5.7,14,2.4,200,49,6.7,6.7,10.7,242.6,90.7,,31,188,5.1,6.03,6.08,1,2,16,
1995*+,26,GNB,QB,4,16,16,11-5-0,359,570,63,4413,38,6.7,13,2.3,223,99,7.7,8,12.3,275.8,99.5,,33,217,5.5,6.96,7.25,0,1,18,AP MVP-1 AP OPoY-1 AP1 PB
1996*+,27,GNB,QB,4,16,16,13-3-0,325,543,59.9,3899,39,7.2,13,2.4,194,80,7.2,7.5,12,243.7,95.8,,40,241,6.9,6.27,6.61,1,1,18,AP MVP-1 AP OPoY-2 AP1 PB
1997*+,28,GNB,QB,4,16,16,13-3-0,304,513,59.3,3867,35,6.8,16,3.1,189,74,7.5,7.5,12.7,241.7,92.6,,25,176,4.6,6.86,6.82,,,17,AP MVP-1 AP OPoY-3 AP1 PB
1998,29,GNB,QB,4,16,16,11-5-0,347,551,63,4212,31,5.6,23,4.2,204,84,7.6,6.9,12.1,263.3,87.8,,38,223,6.5,6.77,6.07,1,2,16,
1999,30,GNB,QB,4,16,16,8-8-0,341,595,57.3,4091,22,3.7,23,3.9,196,74,6.9,5.9,12,255.7,74.7,,35,223,5.6,6.14,5.2,3,3,13,
2000,31,GNB,QB,4,16,16,9-7-0,338,580,58.3,3812,20,3.4,16,2.8,194,67,6.6,6,11.3,238.3,78,,33,236,5.4,5.83,5.31,0,4,13,
2001*,32,GNB,QB,4,16,16,12-4-0,314,510,61.6,3921,32,6.3,15,2.9,187,67,7.7,7.6,12.5,245.1,94.1,,22,151,4.1,7.09,7.02,1,2,15,AP MVP-3 AP OPoY-3 AP2 PB
2002*,33,GNB,QB,4,16,16,12-4-0,341,551,61.9,3658,27,4.9,16,2.9,189,85,6.6,6.3,10.7,228.6,85.6,,26,188,4.5,6.01,5.7,3,3,13,AP MVP-2 AP2 PB
2003*,34,GNB,QB,4,16,16,10-6-0,308,471,65.4,3361,32,6.8,21,4.5,168,66,7.1,6.5,10.9,210.1,90.4,,19,137,3.9,6.58,5.96,1,3,14,PB
2004,35,GNB,QB,4,16,16,10-6-0,346,540,64.1,4088,30,5.6,17,3.1,205,79,7.6,7.3,11.8,255.5,92.4,,12,93,2.2,7.24,6.94,3,4,15,
2005,36,GNB,QB,4,16,16,4-12-0,372,607,61.3,3881,20,3.3,29,4.8,202,59,6.4,4.9,10.4,242.6,70.9,,24,170,3.8,5.88,4.45,1,1,9,
2006,37,GNB,QB,4,16,16,8-8-0,343,613,56,3885,18,2.9,18,2.9,183,82,6.3,5.6,11.3,242.8,72.7,45.5,21,134,3.3,5.92,5.21,1,1,9,
2007*,38,GNB,QB,4,16,16,13-3-0,356,535,66.5,4155,28,5.2,15,2.8,198,82,7.8,7.6,11.7,259.7,95.7,70.8,15,93,2.7,7.39,7.18,2,4,14,AP MVP-2 AP OPoY-3 AP CPoY-4 AP2 PB
2008*,39,NYJ,QB,4,16,16,9-7-0,343,522,65.7,3472,22,4.2,22,4.2,186,56,6.7,5.6,10.1,217,81,43.4,30,213,5.4,5.9,4.91,1,2,12,PB
2009*,40,MIN,QB,4,16,16,12-4-0,363,531,68.4,4202,33,6.2,7,1.3,214,63,7.9,8.6,11.6,262.6,107.2,74.4,34,247,6,7,7.61,2,2,16,AP MVP-4 AP CPoY-4 PB
2010,41,MIN,QB,4,13,13,5-8-0,217,358,60.6,2509,11,3.1,19,5.3,112,53,7,5.2,11.6,193,69.9,38.4,22,139,5.8,6.24,4.57,1,2,5,
Career,,,,,302,298,186-112-0,6300,10169,62,71838,508,5,336,3.3,3244,99,7.1,6.6,11.4,237.9,86,,525,3487,4.9,6.39,5.93,28,43,259,
16 yrs,,GNB,,,255,253,160-93-0,5377,8754,61.4,61655,442,5,286,3.3,2732,99,7,6.6,11.5,241.8,85.8,,438,2877,4.8,6.39,5.96,24,37,226,
2 yrs,,MIN,,,29,29,17-12-0,580,889,65.2,6711,44,4.9,26,2.9,326,63,7.5,7.2,11.6,231.4,92.2,,56,386,5.9,6.69,6.39,3,4,21,
1 yr,,ATL,,,2,0,,0,4,0,0,0,0,2,50,0,0,0,-22.5,,0,0,,1,11,20,-2.2,-20.2,,,0,
1 yr,,NYJ,,,16,16,9-7-0,343,522,65.7,3472,22,4.2,22,4.2,186,56,6.7,5.6,10.1,217,81,,30,213,5.4,5.9,4.91,1,2,12,
