Year,Age,Tm,Pos,No.,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,AV,Awards
1996,23,PHI,FS,20,14,13,3,41,0,30,,0,0,2,23,0,1,74,53,21,,,,6,
1997,24,PHI,FS,20,15,15,3,76,1,64,,,,,,,0,74,61,13,,,,7,
1998,25,PHI,FS,20,14,14,2,39,0,30,,1,0,1,0,0,1,56,45,11,,,,6,
1999*,26,PHI,FS,20,16,16,4,127,1,67,24,6,0,2,0,0,1.5,78,58,20,4,,,10,PB
2000,27,PHI,FS,20,13,13,4,62,0,32,10,1,0,2,0,0,2,72,55,17,4,,,7,
2001*+,28,PHI,FS,20,15,15,2,15,0,15,17,2,0,2,49,1,1.5,70,58,12,5,,,16,AP1 PB
2002*+,29,PHI,FS,20,16,16,2,27,0,27,12,5,0,4,4,0,3,95,66,29,5,,,16,AP DPoY-3 AP1 PB
2003,30,PHI,fs,20,7,7,1,0,0,0,6,,,,,,0.5,35,28,7,1,,,3,
2004*+,31,PHI,FS,20,15,15,4,40,0,32,12,2,0,1,0,0,3,70,62,8,3,,,13,AP1 PB
2005*,32,PHI,FS,20,16,16,3,24,0,24,24,4,0,1,0,0,3.5,80,69,11,4,,,10,PB
2006*+,33,PHI,FS,20,16,16,4,38,0,38,14,5,0,0,0,0,1,98,76,22,5,5,,14,AP1 PB
2007,34,PHI,FS,20,10,10,1,1,0,1,6,,,,,,0,37,28,9,3,0,,4,
2008*,35,PHI,FS,20,16,16,1,25,0,25,7,6,0,1,0,0,3,75,64,11,11,3,,11,PB
2009*,36,DEN,FS,20,16,16,2,0,0,0,10,1,0,3,0,0,0,116,95,21,6,2,,10,AP2 PB
2010,37,DEN,SS,20,11,11,1,-2,0,-2,5,2,0,0,0,0,2,66,55,11,3,3,,3,
2011*,38,DEN,SS,20,14,12,0,0,0,0,6,1,0,0,0,0,3,51,38,13,5,4,,6,PB
Career,,,,,224,221,37,513,2,67,153,36,0,19,76,1,26,1147,911,236,59,17,,142,
13 yrs,,PHI,,,183,182,34,515,2,67,132,32,0,16,76,1,21,914,723,191,45,8,,123,
3 yrs,,DEN,,,41,39,3,-2,0,0,21,4,0,3,0,0,5,233,188,45,14,9,,19,
