Year,Age,Tm,Pos,No.,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,AV,Awards
2000*,22,CHI,MLB,54,16,14,2,19,0,19,5,0,0,1,0,0,8,124,98,26,16,,,10,AP DRoY-1 PB
2001*+,23,CHI,MLB,54,16,16,3,60,0,41,8,2,0,2,101,1,6,118,91,27,9,,,21,AP MVP-5 AP DPoY-2 AP1 PB
2002*+,24,CHI,MLB,54,16,16,1,0,0,0,7,2,0,2,43,0,4.5,153,117,36,19,,,14,AP1 PB
2003*,25,CHI,MLB,54,16,16,0,0,0,0,4,,,,,,2.5,115,86,29,9,,,9,PB
2004,26,CHI,MLB,54,9,9,1,42,0,42,7,2,0,0,0,0,5.5,72,54,18,9,,,6,
2005*+,27,CHI,MLB,54,16,16,0,0,0,0,5,1,0,0,0,0,6,122,98,24,17,,,18,AP DPoY-1 AP1 PB
2006*+,28,CHI,MLB,54,16,16,3,38,0,36,9,1,0,1,0,0,0,142,93,49,11,8,,19,AP DPoY-4 AP1 PB
2007,29,CHI,MLB,54,16,16,5,101,1,85,12,0,0,2,0,0,5,123,93,30,7,7,,11,
2008,30,CHI,MLB,54,16,16,2,11,0,11,9,0,0,1,0,0,0,93,79,14,10,3,,9,
2009,31,CHI,LB,54,1,1,,,,,,,,,,,0,3,3,0,1,1,,0,
2010*,32,CHI,MLB,54,16,16,1,0,0,0,10,1,0,3,0,0,4,126,97,29,13,5,,15,AP DPoY-5 AP CPoY-4 AP2 PB
2011*,33,CHI,MLB,54,16,16,3,7,0,8,7,0,0,2,29,1,0,102,84,18,9,0,,12,PB
2012,34,CHI,MLB,54,12,12,1,46,1,46,7,2,0,2,4,0,0,68,53,15,8,0,,8,
Career,,,,,182,180,22,324,2,85,90,11,0,16,177,2,41.5,1361,1046,315,138,24,,152,
