Year,Age,Tm,Pos,No.,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,AV,Awards
1983,22,HOU,RG,74,16,15,,,,,,,,,,,0,,,,,,,7,
1984,23,HOU,C/RT,74,16,16,,,,,,,,,,,0,,,,,,,7,
1985,24,HOU,RT,74,16,16,,,,,,,0,3,0,0,0,,,,,,,7,
1986,25,HOU,LT,74,16,16,,,,,,,0,1,7,0,0,,,,,,,7,
1987,26,HOU,RG,74,8,6,,,,,,,,,,,0,,,,,,,3,
1988*+,27,HOU,RG,74,16,16,,,,,,,,,,,0,,,,,,,15,AP1 PB
1989*+,28,HOU,RG,74,16,16,,,,,,,2,1,-29,0,0,,,,,,,17,AP1 PB
1990*+,29,HOU,RG,74,16,16,,,,,,,0,1,0,0,0,,,,,,,18,AP1 PB
1991*,30,HOU,C,74,16,16,,,,,,,1,1,-3,0,0,,,,,,,13,AP2 PB
1992*+,31,HOU,C,74,16,16,,,,,,,,,,,0,,,,,,,15,AP1 PB
1993*,32,HOU,C,74,16,16,,,,,,,,,,,0,,,,,,,13,AP2 PB
1994*,33,HOU,C,74,16,16,,,,,,0,2,0,-9,0,0,,,,,,,8,PB
1995*,34,HOU,LG,74,16,16,,,,,,,,,,,0,,,,,,,10,PB
1996*,35,HOU,LG,74,16,16,,,,,,,,,,,0,,,,,,,13,AP2 PB
1997*,36,TEN,LG,74,16,16,,,,,,0,0,2,0,0,0,,,,,,,10,PB
1998*+,37,TEN,LG,74,16,16,,,,,,0,0,1,0,0,0,,,,,,,14,AP1 PB
1999*+,38,TEN,LG,74,16,16,,,,,,,,,,,0,,,,,,,15,AP1 PB
2000*+,39,TEN,LG,74,16,16,,,,,,,,,,,0,,,,,,,12,AP1 PB
2001*,40,TEN,C,74,16,16,,,,,,,,,,,0,,,,,,,11,PB
Career,,,,,296,293,,,,,,0,5,10,-34,0,0,,,,,,,215,
