Year,Age,Tm,Pos,No.,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,AV,Awards
1985,22,BUF,RDE,78,16,13,,,,,,,0,4,0,0,6.5,48,,,,,,7,
1986,23,BUF,RDE,78,16,15,,,,,,3,0,0,0,0,15,63,,,,,,7,
1987*+,24,BUF,RDE,78,12,12,,,,,,3,0,2,15,1,12,78,,,,,,17,AP DPoY-2 AP1 PB
1988*+,25,BUF,RDE,78,12,12,,,,,,3,0,0,0,0,11,56,,,,,1,15,AP DPoY-4 AP1 PB
1989*,26,BUF,RDE,78,16,16,,,,,,,,,,,13,88,,,,,,15,AP DPoY-5 AP2 PB
1990*+,27,BUF,RDE,78,16,16,,,,,,4,0,0,0,0,19,101,,,,,,17,AP MVP-4 AP DPoY-1 AP1 PB
1991,28,BUF,RDE,78,5,5,,,,,,,,,,,1.5,18,,,,,,2,
1992*,29,BUF,RDE,78,15,15,,,,,,3,0,0,0,0,14,89,,,,,,14,AP DPoY-5 AP2 PB
1993*+,30,BUF,RDE,78,16,16,1,0,0,0,,3,0,1,0,0,14,108,,,,,,18,AP DPoY-3 AP1 PB
1994*+,31,BUF,RDE,78,15,15,1,0,0,0,,5,0,2,0,0,10,81,57,24,,,,14,AP DPoY-7 AP1 PB
1995*+,32,BUF,RDE,78,15,15,,,,,,1,0,1,0,0,10.5,74,52,22,,,,17,AP1 PB
1996*+,33,BUF,RDE,78,16,16,,,,,,5,0,1,0,0,13.5,90,69,21,,,,21,AP DPoY-1 AP1 PB
1997*+,34,BUF,RDE,78,16,16,,,,,,,,,,,14,65,49,16,,,,15,AP DPoY-2 AP1 PB
1998*,35,BUF,RDE,78,15,15,,,,,,2,0,2,18,0,10,50,35,15,,,,12,AP2 PB
1999,36,BUF,RDE,78,16,16,0,0,0,0,2,3,0,1,0,0,7,45,31,14,5,,,10,
2000,37,WAS,RDE,78,16,16,0,0,0,0,2,5,0,0,0,0,10,57,48,9,13,,1,9,
2001,38,WAS,RDE,78,14,14,0,0,0,0,2,3,0,1,0,0,5,42,31,11,7,,,7,
2002,39,WAS,RDE,78,16,16,0,0,0,0,1,,,,,,9,49,37,12,11,,,8,
2003,40,WAS,LDE,78,16,8,,,,,,,,,,,5,22,17,5,5,,,4,
Career,,,,,279,267,2,0,0,0,7,43,0,15,33,1,200,1224,426,149,41,,2,229,
15 yrs,,BUF,,,217,213,2,0,0,0,2,35,0,14,33,1,171,1054,293,112,5,,1,201,
4 yrs,,WAS,,,62,54,0,0,0,0,5,8,0,1,0,0,29,170,133,37,36,,1,28,
