Year,Age,Tm,Pos,No.,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Sfty,AV,Awards
1963,24,KAN,LDT,86,14,11,,,,,,,,,,,5,,7,
1964*,25,KAN,RDT,86,14,14,,,,,,,,,,,7,,10,AP2 PB
1965*,26,KAN,RDT,86,14,14,,,,,,,,,,,7,,10,AP2 PB
1966*+,27,KAN,RDT,86,14,14,,,,,,,,,,,2.5,,11,AP1 PB
1967*+,28,KAN,RDT,86,14,14,,,,,,,,,,,8.5,,14,AP1 PB
1968*+,29,KAN,RDT,86,14,14,1,11,0,11,,,0,1,0,0,7,1,15,AP1 PB
1969*+,30,KAN,RDT,86,14,14,,,,,,,,,,,6.5,,16,AP1 PB
1970*,31,KAN,RDT,86,14,14,,,,,,,,,,,7,,8,PB
1971*,32,KAN,RDT,86,14,14,1,9,0,9,,,,,,,5,,9,PB
1972,33,KAN,RDT,86,14,14,,,,,,,,,,,6.5,,8,
1973,34,KAN,RDT,86,14,14,1,17,0,17,,,,,,,7.5,,9,
1974,35,KAN,RDT,86,14,9,,,,,,,0,2,0,0,1,,3,
1975,36,KAN,RDT,86,14,12,,,,,,,,,,,0,,5,
Career,,,,,182,172,3,37,0,17,,,0,3,0,0,70.5,1,125,
