Year,Age,Tm,Pos,No.,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,AV,Awards
2008,22,ARI,de,93,16,0,0,0,0,0,1,1,1,0,0,0,0,29,24,5,2,1,,1,
2009,23,ARI,LDE,93,16,15,0,0,0,0,5,1,0,0,0,0,7,47,36,11,8,14,,7,
2010,24,ARI,LDE,93,15,15,0,0,0,0,2,0,0,1,0,0,6,60,46,14,13,7,,7,
2011,25,ARI,LDE,93,16,16,1,0,0,0,10,2,0,1,0,0,8,72,53,19,13,17,,9,
2012,26,ARI,LDE,93,13,12,0,0,0,0,6,,,,,,6.5,63,50,13,13,12,,8,
2013,27,ARI,LDE,93,16,16,0,0,0,0,6,1,0,2,2,0,9,58,45,13,14,21,1,9,
2014*,28,ARI,LDE,93,14,14,1,23,0,23,3,1,0,0,0,0,7,58,48,10,16,11,,15,AP2 PB
2015*,29,ARI,LDE,93,16,16,0,0,0,0,3,0,0,1,0,0,5,61,46,15,16,20,,10,PB
2016,30,ARI,LDE,93,16,16,1,1,0,1,6,2,0,3,53,1,8,53,34,19,12,21,1,16,AP2
2017*+,31,JAX,RDE,93,16,16,0,0,0,0,3,3,0,1,10,1,14.5,67,47,20,14,30,,16,AP DPoY-2 AP1 PB
2018*,32,JAX,RDE,93,16,16,0,0,0,0,2,1,0,1,0,0,10.5,72,53,19,20,22,,13,PB
2019*,33,JAX,RDE,93,16,16,0,0,0,0,1,2,0,1,8,1,6.5,56,37,19,10,25,,10,PB
2020*,34,BAL,LDE,93,12,12,0,0,0,0,6,,,,,,4,28,18,10,5,10,,9,PB
2021,35,BAL,RDE/lde,93,15,14,0,0,0,0,1,0,0,1,0,0,1.5,49,29,20,5,12,,7,
2022,36,BAL,DT,93,6,6,0,0,0,0,1,,,,,,2,17,7,10,2,6,,,
Career,,,,,219,200,3,24,0,23,56,14,1,12,73,3,95.5,790,573,217,163,229,2,137,
9 yrs,,ARI,,,138,120,3,24,0,23,42,8,1,8,55,1,56.5,501,382,119,107,124,2,82,
3 yrs,,BAL,,,33,32,0,0,0,0,8,0,0,1,0,0,7.5,94,54,40,12,28,,16,
3 yrs,,JAX,,,48,48,0,0,0,0,6,6,0,3,18,2,31.5,195,137,58,44,77,,39,
