Year,Age,Tm,Pos,No.,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds,Sk%,NY/A,ANY/A,4QC,GWD,AV,Awards
2011*,22,CAR,QB,1,16,16,6-10-0,310,517,60,4051,21,4.1,17,3.3,176,91,7.8,7.2,13.1,253.2,84.5,56.6,35,260,6.3,6.87,6.24,1,1,19,AP ORoY-1 PB
2012,23,CAR,QB,1,16,16,7-9-0,280,485,57.7,3869,19,3.9,12,2.5,171,82,8,7.6,13.8,241.8,86.2,58.3,36,244,6.9,6.96,6.65,1,1,16,
2013*,24,CAR,QB,1,16,16,12-4-0,292,473,61.7,3379,24,5.1,13,2.7,172,79,7.1,6.9,11.6,211.2,88.8,64.3,43,336,8.3,5.9,5.69,4,4,16,PB
2014,25,CAR,QB,1,14,14,5-8-1,262,448,58.5,3127,18,4,12,2.7,156,51,7,6.6,11.9,223.4,82.1,57.3,38,300,7.8,5.82,5.45,3,2,12,
2015*+,26,CAR,QB,1,16,16,15-1-0,296,495,59.8,3837,35,7.1,10,2,195,74,7.8,8.3,13,239.8,99.4,61.4,33,284,6.3,6.73,7.2,3,4,21,AP MVP-1 AP OPoY-1 AP1 PB
2016,27,CAR,QB,1,15,14,6-8-0,270,510,52.9,3509,19,3.7,14,2.7,173,88,6.9,6.4,13,233.9,75.8,47.1,36,277,6.6,5.92,5.46,,,11,
2017,28,CAR,QB,1,16,16,11-5-0,291,492,59.1,3302,22,4.5,16,3.3,167,64,6.7,6.1,11.3,206.4,80.7,51.5,35,242,6.6,5.81,5.28,1,3,15,
2018,29,CAR,QB,1,14,14,6-8-0,320,471,67.9,3395,24,5.1,13,2.8,180,82,7.2,7,10.6,242.5,94.2,53.2,29,213,5.8,6.36,6.15,2,2,14,
2019,30,CAR,QB,1,2,2,0-2-0,50,89,56.2,572,0,0,1,1.1,29,44,6.4,5.9,11.4,286,71,22.5,6,43,6.3,5.57,5.09,,,1,
2020,31,NWE,QB,1,15,15,7-8-0,242,368,65.8,2657,8,2.2,10,2.7,133,50,7.2,6.4,11,177.1,82.9,39.4,31,195,7.8,6.17,5.44,1,3,12,
2021,32,CAR,QB,1,8,5,0-5-0,69,126,54.8,684,4,3.2,5,4,32,64,5.4,4.3,9.9,85.5,64.4,25.5,10,83,7.4,4.42,3.35,,,3,
Career,,,,,148,144,75-68-1,2682,4474,59.9,32382,194,4.3,123,2.7,1584,91,7.2,6.9,12.1,218.8,85.2,,332,2477,6.9,6.22,5.88,16,20,140,
10 yrs,,CAR,,,133,129,68-60-1,2440,4106,59.4,29725,186,4.5,113,2.8,1451,91,7.2,6.9,12.2,223.5,85.4,,301,2282,6.8,6.23,5.92,15,17,128,
1 yr,,NWE,,,15,15,7-8-0,242,368,65.8,2657,8,2.2,10,2.7,133,50,7.2,6.4,11,177.1,82.9,,31,195,7.8,6.17,5.44,1,3,12,
