Year,Age,Tm,Pos,No.,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,AV,Awards
2011,22,NOR,LDE,94,16,15,0,0,0,0,4,0,0,1,0,0,1,31,18,13,2,4,,7,
2012,23,NOR,LDE,94,16,16,0,0,0,0,3,3,0,2,0,0,8,67,41,26,8,13,,7,
2013*,24,NOR,RDE,94,16,16,0,0,0,0,4,2,0,2,11,0,12.5,47,29,18,13,23,,13,PB
2014,25,NOR,RDE,94,16,16,1,6,0,6,5,0,0,1,0,0,7.5,51,32,19,8,10,,7,
2015*,26,NOR,RDE,94,16,16,0,0,0,0,5,1,0,2,0,0,10,45,32,13,15,20,,8,PB
2016,27,NOR,RDE,94,16,16,0,0,0,0,6,1,0,0,0,0,7.5,58,40,18,17,24,,7,
2017*+,28,NOR,LDE,94,16,16,1,0,1,0,11,2,0,0,0,0,13,62,48,14,17,28,,17,AP DPoY-4 AP1 PB
2018*,29,NOR,LDE,94,16,16,0,0,0,0,6,1,0,1,0,0,12,49,35,14,18,21,,12,AP2 PB
2019*,30,NOR,LDE,94,16,16,0,0,0,0,3,0,0,1,0,0,15.5,53,37,16,15,25,,13,AP2 PB
2020*,31,NOR,LDE,94,16,16,0,0,0,0,3,1,0,0,0,0,7.5,51,34,17,11,16,,12,PB
2021*,32,NOR,LDE,94,16,16,0,0,0,0,6,2,0,0,0,0,12.5,59,38,21,13,22,,13,PB
2022,33,NOR,DE,94,7,7,,,,,,,,,,,4.5,32,21,11,8,7,,,
Career,,,,,183,182,2,6,1,6,56,13,0,10,11,0,111.5,605,405,200,145,213,,116,
