Year,Age,Tm,Pos,No.,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Sfty,AV,Awards
1964,22,MIN,LDE,81,14,14,,,,,,,0,4,45,1,7.5,,9,AP RoY-7 UPI RoY-5
1965,23,MIN,LDE,81,14,14,,,,,,,0,2,9,0,5.5,1,6,
1966,24,MIN,LDE,81,14,14,,,,,,,0,4,0,0,5,,10,
1967,25,MIN,LDE,81,14,13,,,,,,,0,2,0,0,4,,8,
1968*+,26,MIN,LDE,81,14,14,,,,,,,0,1,0,0,8,,14,AP1 PB
1969*+,27,MIN,LDE,81,14,14,,,,,,,,,,,15,,23,AP MVP-3 UPI MVP-2 AP1 PB
1970*+,28,MIN,LDE,81,14,14,,,,,,,0,2,2,0,13,,20,AP MVP-5 AP1 PB
1971*+,29,MIN,LDE,81,14,14,,,,,,,,,,,4.5,,19,AP MVP-9 AP DPoY-2 AP1 PB
1972,30,MIN,LDE,81,14,14,,,,,,,0,1,0,0,7,,11,AP2
1973*+,31,MIN,LDE,81,14,14,,,,,,,0,1,0,0,11,,17,AP1 PB
1974*,32,MIN,LDE,81,14,14,,,,,,,0,1,0,0,10,,10,PB
1975,33,MIN,LDE,81,14,14,1,1,0,1,,,0,2,5,0,10,,9,
1976,34,MIN,LDE,81,13,13,,,,,,,,,,,10,,8,
1977,35,MIN,LDE,81,14,14,,,,,,,,,,,15,1,9,
1978,36,MIN,LDE,81,14,7,,,,,,,0,3,0,0,5,,4,
1979,37,SEA,LDE,71,16,8,,,,,,,,,,,3,,3,
Career,,,,,225,209,1,1,0,1,,,0,23,61,1,133.5,2,180,
15 yrs,,MIN,,,209,201,1,1,0,1,,,0,23,61,1,130.5,2,177,
1 yr,,SEA,,,16,8,,,,,,,,,,,3,,3,
