Year,Age,Tm,Pos,No.,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds,Sk%,NY/A,ANY/A,4QC,GWD,AV,Awards
2004,25,CIN,QB,9,13,13,6-7-0,263,432,60.9,2897,18,4.2,18,4.2,140,76,6.7,5.7,11,222.8,77.3,,25,178,5.5,5.95,4.96,2,3,8,
2005*,26,CIN,QB,9,16,16,11-5-0,345,509,67.8,3836,32,6.3,12,2.4,198,70,7.5,7.7,11.1,239.8,101.1,,19,105,3.6,7.07,7.26,1,3,16,AP MVP-5 AP OPoY-4 PB
2006*,27,CIN,QB,9,16,16,8-8-0,324,520,62.3,4035,28,5.4,13,2.5,200,74,7.8,7.7,12.5,252.2,93.9,67.1,36,233,6.5,6.84,6.79,2,3,14,AP CPoY-3 PB
2007,28,CIN,QB,9,16,16,7-9-0,373,575,64.9,4131,26,4.5,20,3.5,213,70,7.2,6.5,11.1,258.2,86.7,62.5,17,119,2.9,6.78,6.14,2,2,14,
2008,29,CIN,qb,9,4,4,0-4-0,75,129,58.1,731,3,2.3,4,3.1,41,36,5.7,4.7,9.7,182.8,69,65,11,67,7.9,4.74,3.89,,,2,
2009,30,CIN,QB,9,16,16,10-6-0,282,466,60.5,3094,21,4.5,13,2.8,159,73,6.6,6.3,11,193.4,83.6,58.6,26,213,5.3,5.86,5.52,3,5,10,
2010,31,CIN,QB,9,16,16,4-12-0,362,586,61.8,3970,26,4.4,20,3.4,206,78,6.8,6.1,11,248.1,82.4,55.1,26,201,4.2,6.16,5.54,1,1,11,
2011,32,OAK,QB,3,10,9,4-5-0,199,328,60.7,2753,13,4,16,4.9,123,78,8.4,7,13.8,275.3,80.5,53.5,17,119,4.9,7.63,6.3,0,1,8,
2012,33,OAK,QB,3,15,15,4-11-0,345,565,61.1,4018,22,3.9,14,2.5,188,64,7.1,6.8,11.6,267.9,85.3,46.6,26,199,4.4,6.46,6.14,2,2,10,
2013,34,ARI,QB,3,16,16,10-6-0,362,572,63.3,4274,24,4.2,22,3.8,205,91,7.5,6.6,11.8,267.1,83.9,54,41,289,6.7,6.5,5.67,3,4,11,
2014,35,ARI,qb,3,6,6,6-0-0,141,224,62.9,1626,11,4.9,3,1.3,82,80,7.3,7.6,11.5,271,95.6,63.7,9,59,3.9,6.73,7.09,2,2,4,
2015*,36,ARI,QB,3,16,16,13-3-0,342,537,63.7,4671,35,6.5,11,2,231,68,8.7,9.1,13.7,291.9,104.6,76.4,25,151,4.4,8.04,8.41,1,4,16,AP MVP-2 AP OPoY-4 AP CPoY-2 AP2 PB
2016,37,ARI,QB,3,15,15,6-8-1,364,597,61,4233,26,4.4,14,2.3,220,80,7.1,6.9,11.6,282.2,87.2,52.9,40,281,6.3,6.2,6.03,1,3,12,
2017,38,ARI,QB,3,7,7,3-4-0,164,267,61.4,1978,9,3.4,7,2.6,95,46,7.4,6.9,12.1,282.6,84.4,50,22,150,7.6,6.33,5.86,2,2,5,
Career,,,,,182,181,92-88-1,3941,6307,62.5,46247,294,4.7,187,3,2301,91,7.3,6.9,11.7,254.1,87.9,,340,2364,5.1,6.6,6.22,22,35,141,
7 yrs,,CIN,,,97,97,46-51-0,2024,3217,62.9,22694,154,4.8,100,3.1,1157,78,7.1,6.6,11.2,234,86.9,,160,1116,4.7,6.39,5.97,11,17,75,
5 yrs,,ARI,,,60,60,38-21-1,1373,2197,62.5,16782,105,4.8,57,2.6,833,91,7.6,7.4,12.2,279.7,91.1,,137,930,5.9,6.79,6.59,9,15,48,
2 yrs,,OAK,,,25,24,8-16-0,544,893,60.9,6771,35,3.9,30,3.4,311,78,7.6,6.9,12.4,270.8,83.5,,43,318,4.6,6.89,6.2,2,3,18,
