Year,Age,Tm,Pos,No.,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,AV,Awards
1999,21,WAS,LCB,24,16,16,5,55,1,59,16,,,,,,1,80,73,7,2,,,7,AP DRoY-2
2000*,22,WAS,LCB,24,16,16,5,48,0,48,14,0,0,1,0,0,0,61,56,5,0,,,16,AP2 PB
2001*,23,WAS,LCB,24,16,16,3,17,0,12,18,1,0,1,0,0,0,51,49,2,1,,,10,PB
2002*,24,WAS,LCB,24,16,16,3,2,0,2,24,0,4,1,0,0,0,68,62,6,2,,,10,PB
2003*,25,WAS,LCB,24,16,16,2,2,0,2,9,1,0,2,1,0,0,72,68,4,5,,,10,AP2 PB
2004*+,26,DEN,LCB,24,16,16,3,0,0,0,12,,,,,,0,81,68,13,6,,,17,AP1 PB
2005*+,27,DEN,LCB,24,14,14,8,139,2,65,23,1,0,0,0,0,0,66,60,6,3,,,17,AP DPoY-6 AP1 PB
2006*+,28,DEN,LCB,24,16,16,10,162,1,70,21,0,0,1,4,0,0,86,74,12,5,0,,18,AP DPoY-2 AP1 PB
2007*,29,DEN,LCB,24,15,15,3,3,0,3,14,,,,,,0,84,71,13,5,1,,12,AP2 PB
2008,30,DEN,LCB,24,9,9,1,0,0,0,3,2,0,0,0,0,1,44,39,5,3,2,,3,
2009*,31,DEN,LCB,24,16,16,3,18,0,11,15,1,0,0,0,0,0,74,63,11,3,0,,9,PB
2010*,32,DEN,LCB,24,15,15,2,0,0,0,13,,,,,,1,45,41,4,3,1,,7,PB
2011*,33,DEN,LCB,24,13,13,2,0,0,0,10,1,0,0,0,0,0,39,35,4,1,0,,8,PB
2012*,34,DEN,LCB,24,16,15,2,18,0,18,8,,,,,,0,66,61,5,3,0,,12,AP2 PB
2013,35,DEN,DB,24,5,3,0,0,0,0,3,,,,,,0,14,12,2,0,0,,1,
Career,,,,,215,212,52,464,4,70,203,7,4,6,5,0,3,931,832,99,42,4,,157,
10 yrs,,DEN,,,135,132,34,340,3,70,122,5,0,1,4,0,2,599,524,75,32,4,,104,
5 yrs,,WAS,,,80,80,18,124,1,59,81,2,4,5,1,0,1,332,308,24,10,,,53,
