Year,Age,Tm,Pos,No.,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,AV,Awards
1998*,22,OAK,LCB,24,16,16,5,118,1,46,,2,0,0,0,0,0,64,61,3,,,,12,AP DRoY-1 PB
1999*+,23,OAK,LCB,24,16,16,1,15,1,15,15,0,0,1,24,0,0,61,52,9,3,,,15,AP1 PB
2000*,24,OAK,LCB,24,16,16,4,36,0,23,13,3,0,1,0,0,0,79,66,13,1,,,13,AP2 PB
2001*,25,OAK,LCB,24,16,15,1,64,0,34,11,1,0,0,0,0,2,53,40,13,3,,,10,PB
2002,26,OAK,LCB,24,8,7,1,3,0,3,4,4,0,1,0,0,0,37,35,2,0,,,3,
2003,27,OAK,LCB,24,15,15,3,67,0,51,8,1,0,1,3,0,1,70,56,14,5,,,6,
2004,28,OAK,RCB,24,13,12,1,25,0,25,9,2,0,1,0,0,2.5,74,59,15,1,,,4,
2005,29,OAK,RCB,24,6,6,1,0,0,0,4,1,1,0,0,0,0,31,27,4,2,,,2,
2006,30,GNB,LCB,21,16,16,8,61,1,23,20,3,0,1,0,0,1,62,51,11,1,1,,8,
2007,31,GNB,LCB,21,14,14,4,48,1,46,9,0,1,2,57,1,0,63,52,11,3,0,,7,
2008*,32,GNB,LCB,21,16,16,7,169,2,62,17,1,0,1,-2,0,3,63,51,12,4,3,,13,AP2 PB
2009*+,33,GNB,LCB,21,16,16,9,179,3,45,18,4,0,1,0,0,2,74,66,8,9,3,,18,AP DPoY-1 AP1 PB
2010*,34,GNB,LCB,21,16,16,2,48,1,48,13,5,0,0,0,0,2,92,76,16,7,6,,14,AP2 PB
2011*+,35,GNB,LCB,21,15,15,7,63,1,30,17,1,0,1,-1,0,2,75,63,12,4,3,,13,AP DPoY-6 AP1 PB
2012,36,GNB,SS,21,7,7,1,0,0,0,5,1,0,0,0,0,1.5,38,25,13,1,2,,3,
2013,37,OAK,FS,24,16,16,1,13,0,13,3,3,0,2,25,1,2,97,75,22,5,2,,6,
2014,38,OAK,FS,24,16,16,4,35,0,30,8,0,0,1,0,0,1,113,83,30,4,1,,6,
2015*,39,OAK,SS,24,16,16,5,22,0,11,9,1,1,4,36,0,0,74,59,15,1,0,,10,AP2 PB
Career,,,,,254,251,65,966,11,62,183,33,3,18,142,2,20,1220,997,223,54,21,,163,
11 yrs,,OAK,,,154,151,27,398,2,51,84,18,2,12,88,1,8.5,753,613,140,25,3,,87,
7 yrs,,GNB,,,100,100,38,568,9,62,99,15,1,6,54,1,11.5,467,384,83,29,18,,76,
