Year,Age,Tm,Pos,No.,G,GS,Rec,Yds,Y/R,TD,Lng,R/G,Y/G,Rush,Yds,TD,Lng,Y/A,Y/G,A/G,Touch,Y/Tch,YScm,RRTD,Fmb,AV,Awards
1964*,23,WAS,HB,42,14,14,53,814,15.4,5,80,3.8,58.1,199,755,5,50,3.8,53.9,14.2,252,6.2,1569,10,7,15,AP RoY-1 UPI RoY-1 AP2 PB
1965*,24,WAS,HB,42,13,13,40,577,14.4,3,69,3.1,44.4,145,402,3,39,2.8,30.9,11.2,185,5.3,979,6,10,9,PB
1966*,25,WAS,HB/le,42,14,14,72,1119,15.5,12,86,5.1,79.9,87,262,3,24,3,18.7,6.2,159,8.7,1381,15,6,15,AP CPoY-3 PB
1967*+,26,WAS,LE,42,12,12,70,990,14.1,9,86,5.8,82.5,,,,,,,,70,14.1,990,9,3,11,AP1 PB
1968,27,WAS,LE,42,14,11,48,650,13.5,5,47,3.4,46.4,2,-3,0,4,-1.5,-0.2,0.1,50,12.9,647,5,1,6,
1969,28,WAS,WR,42,14,14,71,883,12.4,8,88,5.1,63.1,3,24,0,18,8,1.7,0.2,74,12.3,907,8,1,11,AP2
1970,29,WAS,WR,42,10,10,42,593,14.1,8,41,4.2,59.3,1,17,0,17,17,1.7,0.1,43,14.2,610,8,1,10,
1971,30,WAS,wr,42,6,6,24,370,15.4,4,71,4,61.7,,,,,,,,24,15.4,370,4,0,5,
1972*,31,WAS,WR,42,14,14,49,673,13.7,7,70,3.5,48.1,3,39,0,17,13,2.8,0.2,52,13.7,712,7,1,11,PB
1973*,32,WAS,WR,42,14,14,59,801,13.6,7,53,4.2,57.2,1,-7,0,-7,-7,-0.5,0.1,60,13.2,794,7,1,11,PB
1974*,33,WAS,WR,42,14,14,54,738,13.7,5,51,3.9,52.7,1,-1,0,-1,-1,-0.1,0.1,55,13.4,737,5,0,10,AP2 PB
1975*,34,WAS,WR,42,14,14,53,744,14,6,64,3.8,53.1,,,,,,,,53,14,744,6,0,8,PB
1976,,Missed season - Injured (knee),,,,,,,,,,,,,,,,,,,,,,,,,
1977,36,WAS,WR,42,12,7,14,158,11.3,0,19,1.2,13.2,,,,,,,,14,11.3,158,0,0,2,
Career,,,,,165,157,649,9110,14,79,88,3.9,55.2,442,1488,11,50,3.4,9,2.7,1091,9.7,10598,90,31,124,
