Year,Age,Tm,Pos,No.,G,GS,Rec,Yds,Y/R,TD,Lng,R/G,Y/G,Rush,Yds,TD,Lng,Y/A,Y/G,A/G,Touch,Y/Tch,YScm,RRTD,Fmb,AV,Awards
1969,22,HOU,wr,40,7,0,7,77,11,0,16,1,11,,,,,,,,7,11,77,0,0,1,
1970,23,HOU,WR,18,9,8,28,416,14.9,3,87,3.1,46.2,,,,,,,,28,14.9,416,3,0,4,
1971,24,HOU,WR,18,14,13,31,681,22,7,70,2.2,48.6,,,,,,,,31,22,681,7,1,7,
1972,25,2TM,,,12,10,24,439,18.3,2,82,2,36.6,3,14,0,9,4.7,1.2,0.3,27,16.8,453,2,2,5,
,,CIN,wr,18,6,4,8,133,16.6,0,25,1.3,22.2,1,2,0,2,2,0.3,0.2,9,15,135,0,1,2,
,,HOU,wr,18,6,6,16,306,19.1,2,82,2.7,51,2,12,0,9,6,2,0.3,18,17.7,318,2,1,3,
1973,26,CIN,wr,18,5,4,13,214,16.5,0,26,2.6,42.8,,,,,,,,13,16.5,214,0,1,3,
1974,27,CIN,WR,18,14,10,24,390,16.3,1,65,1.7,27.9,4,20,0,8,5,1.4,0.3,28,14.6,410,1,3,5,
1975,28,CIN,WR,18,14,11,37,726,19.6,5,51,2.6,51.9,,,,,,,,37,19.6,726,5,1,9,
1976*,29,SDG,WR,18,14,14,50,1056,21.1,7,81,3.6,75.4,,,,,,,,50,21.1,1056,7,0,12,PB
1977,30,SDG,WR,18,14,14,35,542,15.5,6,32,2.5,38.7,,,,,,,,35,15.5,542,6,1,6,
1978,31,SDG,WR,18,16,15,33,607,18.4,1,46,2.1,37.9,,,,,,,,33,18.4,607,1,2,7,
1979*,32,SDG,WR,18,16,16,72,1008,14,4,39,4.5,63,1,-12,0,-12,-12,-0.8,0.1,73,13.6,996,4,1,11,PB
1980*+,33,SDG,WR,18,16,16,71,1132,15.9,4,51,4.4,70.8,,,,,,,,71,15.9,1132,4,3,12,AP1 PB
1981,34,SDG,WR,18,16,16,70,1188,17,7,57,4.4,74.3,,,,,,,,70,17,1188,7,2,13,
1982,35,SDG,WR,18,9,9,36,545,15.1,0,43,4,60.6,,,,,,,,36,15.1,545,0,1,11,
1983,36,SDG,WR,18,16,16,65,960,14.8,3,33,4.1,60,,,,,,,,65,14.8,960,3,2,8,
1984,37,SDG,WR,18,16,16,61,793,13,6,41,3.8,49.6,,,,,,,,61,13,793,6,0,7,
1985,38,SDG,WR,18,16,14,59,932,15.8,7,39,3.7,58.3,,,,,,,,59,15.8,932,7,1,9,
1986,39,SDG,WR,18,15,9,34,440,12.9,2,33,2.3,29.3,,,,,,,,34,12.9,440,2,0,4,
Career,,,,,239,211,750,12146,16.2,65,87,3.1,50.8,8,22,0,9,2.8,0.1,0,758,16.1,12168,65,21,134,
11 yrs,,SDG,,,164,155,586,9203,15.7,47,81,3.6,56.1,1,-12,0,0,-12,-0.1,0,587,15.7,9191,47,13,100,
4 yrs,,CIN,,,39,29,82,1463,17.8,6,65,2.1,37.5,5,22,0,8,4.4,0.6,0.1,87,17.1,1485,6,6,19,
4 yrs,,HOU,,,36,27,82,1480,18,12,87,2.3,41.1,2,12,0,9,6,0.3,0.1,84,17.8,1492,12,2,15,
