Year,Age,Tm,Pos,No.,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,AV,Awards
1985,24,MIN,LOLB,56,16,13,1,5,0,5,,,0,3,0,0,0.5,113,,,,,,7,
1986,25,MIN,LLB,56,16,9,1,59,1,59,,2,0,0,0,0,3,49,,,,,,6,
1987*,26,MIN,RDE,56,12,12,,,,,,6,0,0,0,0,11,57,,,,,,11,AP2 PB
1988*,27,MIN,RDE,56,16,16,,,,,,2,0,0,0,0,8,58,,,,,,11,PB
1989*+,28,MIN,RDE,56,16,16,,,,,,5,0,5,7,0,21,94,,,,,,17,AP DPoY-3 AP1 PB
1990*,29,MIN,RDE,56,16,16,1,30,0,30,,4,0,0,0,0,11,92,,,,,1,11,PB
1991,30,MIN,RDE,56,16,16,,,,,,1,0,2,7,0,7,101,,,,,,8,
1992*+,31,MIN,RDE,56,16,16,1,27,1,27,,6,0,3,0,0,14.5,64,,,,,1,19,AP DPoY-8 AP1 PB
1993*,32,MIN,RDE,56,16,16,1,-3,0,-3,,3,0,1,0,0,12.5,68,,,,,,14,AP2 PB
1994,33,ATL,rde,56,14,7,1,2,0,2,,1,0,0,0,0,7,30,26,4,,,,4,
1995*,34,ATL,RDE,56,16,16,,,,,,1,0,2,0,0,9,51,36,15,,,,10,PB
1996,35,SFO,RDE,56,16,16,2,1,0,1,,4,0,3,13,1,11,54,45,9,,,,11,
1997*,36,SFO,RDE,56,16,16,,,,,,3,0,1,0,0,12,46,39,7,,,,12,PB
1998,37,SFO,RDE,56,16,16,,,,,,4,0,2,0,0,15,45,31,14,,,,8,
1999,38,MIN,RDE,56,14,12,0,0,0,0,2,2,0,2,7,0,8,53,42,11,11,,,7,
Career,,,,,232,213,8,121,2,59,2,44,0,24,34,1,150.5,975,219,60,11,,2,156,
10 yrs,,MIN,,,154,142,5,118,2,59,2,31,0,16,21,0,96.5,749,42,11,11,,2,111,
3 yrs,,SFO,,,48,48,2,1,0,1,,11,0,6,13,1,38,145,115,30,,,,31,
2 yrs,,ATL,,,30,23,1,2,0,2,,2,0,2,0,0,16,81,62,19,,,,14,
