Year,Age,Tm,Pos,No.,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Sfty,AV,Awards
1965,24,WAS,rlb,55,14,5,1,14,0,14,,,0,1,0,0,2,,4,
1966*,25,WAS,RLB,55,13,13,1,1,0,1,,,0,1,0,0,5,,7,PB
1967*,26,WAS,RLB,55,13,12,,,,,,,,,,,5,,7,PB
1968*,27,WAS,RLB,55,14,13,2,53,1,30,,,0,1,0,0,5.5,,8,PB
1969*,28,WAS,RLB,55,14,14,,,,,,,0,3,19,1,1.5,,10,AP2 PB
1970,29,WAS,RLB,55,14,14,1,12,0,12,,,0,2,6,0,2.5,,6,
1971,30,WAS,RLB,55,14,14,1,17,0,17,,,0,2,16,1,5,,11,
1972*+,31,WAS,RLB,55,14,14,4,98,1,41,,,0,2,0,0,3.5,,17,AP DPoY-3 AP1 PB
1973*+,32,WAS,RLB,55,14,14,1,45,0,45,,,0,1,9,0,3,,15,AP1 PB
1974*,33,WAS,RLB,55,14,14,4,6,0,5,,,0,2,0,1,2,,13,AP2 PB
1975*+,34,WAS,RLB,55,14,14,3,81,0,37,,,0,2,3,0,3.5,,14,AP1 PB
1976*,35,WAS,RLB,55,14,14,1,20,0,20,,,,,,,2.5,,9,PB
1977,36,WAS,lb,55,5,4,,,,,,,,,,,3.5,,3,
1978,37,WAS,RLB,55,16,16,,,,,,,,,,,1,,7,
Career,,,,,187,175,19,347,2,45,,,0,17,53,3,45.5,,131,
