Year,Age,Tm,Pos,No.,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Sfty,AV,Awards
1958,22,CHI,lb,54,12,1,1,4,0,4,,,,,,,,,,
1959,23,CHI,lb,54,3,0,,,,,,,0,1,0,0,,,,
1960,,Missed season - Injured (knee),,,,,,,,,,,,,,,,,,
1961,25,DAL,LLB,54,13,13,1,5,0,5,,,,,,,3,,6,
1962,26,DAL,RLB,54,14,14,2,33,0,21,,,0,1,0,0,2,,6,
1963,27,DAL,LLB,54,14,14,2,3,0,3,,,0,2,0,0,2,,7,
1964,28,DAL,LLB,54,12,8,2,27,0,21,,,,,,,1.5,,6,
1965*,29,DAL,LLB,54,14,14,,,,,,,0,2,58,0,1.5,,8,PB
1966*+,30,DAL,LLB,54,14,14,,,,,,,0,1,97,1,1.5,,14,AP1 PB
1967*+,31,DAL,LLB,54,14,14,1,28,1,28,,,0,1,0,0,2,,12,AP1 PB
1968*+,32,DAL,LLB,54,14,14,6,115,1,58,,,0,1,0,0,1,,15,AP1 PB
1969*+,33,DAL,RLB,54,14,14,2,37,0,28,,,0,1,0,0,5.5,,13,AP1 PB
1970+,34,DAL,RLB,54,14,14,2,18,0,17,,,0,3,36,0,4,,15,AP1
1971*,35,DAL,RLB,54,14,14,5,122,0,53,,,0,3,0,0,0,,10,PB
1972,36,DAL,RLB,54,13,13,1,7,0,7,,,0,2,0,0,2,,8,
1973,37,DAL,lb,54,1,0,,,,,,,,,,,0,,1,
Career,,,,,180,161,25,399,2,58,,,0,18,191,1,26,,121,
13 yrs,,DAL,,,165,160,24,395,2,58,,,0,17,191,1,26,,121,
2 yrs,,CHI,,,15,1,1,4,0,4,,,0,1,0,0,0,,,
