Year,Age,Tm,Pos,No.,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Comb,Solo,Ast,Sfty,AV,Awards
1978,22,CLE,lb,57,15,2,1,5,0,5,,,,,,,1,34,,,,1,
1979,23,CLE,RLB/rolb,57,16,16,1,30,0,30,,,0,2,0,0,2,103,,,,6,
1980,24,CLE,ROLB,57,14,13,1,6,0,6,,,0,1,0,0,5,83,,,,6,
1981,25,CLE,ROLB,57,16,16,2,14,0,8,,,0,2,16,0,5,128,,,,8,
1982,26,CLE,lb,57,2,1,,,,,,,,,,,0,11,,,,1,
1983,27,CLE,ROLB,57,16,16,,,,,,4,0,0,0,0,6,106,,,,7,
1984,28,CLE,ROLB,57,16,16,,,,,,3,0,1,0,0,12,126,,,,14,AP2
1985*,29,CLE,ROLB,57,14,14,,,,,,1,0,1,15,0,6,88,,,,10,PB
1986,30,CLE,ROLB,57,16,16,2,12,0,8,,2,0,0,0,0,1,89,,,,8,
1987*,31,CLE,ROLB,57,12,12,3,62,1,36,,,0,2,0,0,2.5,72,,,,12,PB
1988*,32,CLE,ROLB,57,16,16,,,,,,,0,2,0,0,6,101,,,,10,PB
1989*,33,CLE,LLB,57,16,16,1,25,0,25,,3,1,2,-2,1,4,113,,,,13,PB
1990,34,CLE,LLB,57,16,16,,,,,,3,0,0,0,0,3.5,102,,,,6,
1991,35,CLE,RLB,57,15,15,1,35,0,35,,3,0,0,0,0,6.5,80,,,,7,
1992,36,CLE,RLB,57,16,16,1,6,0,6,,3,0,0,0,0,9,111,,,,8,
1993,37,CLE,RLB,57,16,15,1,10,0,10,,2,0,0,0,0,5.5,83,,,,8,
1994,38,ATL,LLB,57,15,15,,,,,,,,,,,1,90,71,19,,6,
1995,39,ATL,LLB,57,16,16,2,1,0,1,,0,0,1,0,0,0,63,49,14,,7,
1996,40,ATL,lb,57,15,1,,,,,,3,0,0,0,0,6.5,12,11,1,,1,
Career,,,,,278,248,16,206,1,36,,27,1,14,29,1,82.5,1595,131,34,,139,
16 yrs,,CLE,,,232,216,14,205,1,36,,24,1,13,29,1,75,1430,,0,,125,
3 yrs,,ATL,,,46,32,2,1,0,1,,3,0,1,0,0,7.5,165,131,34,,14,
