Rk,School,State,Players,Active Players,Hall of Famers,Pro Bowl Selections,Games Played,Touchdowns,Highest Career Approximate Value,Approximate Value
1,Notre Dame,IN,623,44,14,189,29539,1929,Alan Page,144
2,USC,CA,549,29,14,238,28964,1891,Bruce Matthews,138
3,Ohio St.,OH,526,59,8,183,26365,1846,Paul Warfield,108
4,None,,478,3,0,18,6758,352,Otis Sistrunk,53
5,Michigan,MI,444,45,9,113,21212,1352,Tom Brady,184
6,Penn St.,PA,427,43,6,120,22873,1353,Jack Ham,113
7,Alabama,AL,420,71,8,128,20228,1358,John Hannah,112
8,LSU,LA,413,59,6,135,21348,1713,Kevin Mawae,108
9,Oklahoma,OK,410,42,3,100,17770,1291,Adrian Peterson,101
10,Nebraska,NE,398,24,5,89,19398,881,Will Shields,113
11,Georgia,GA,395,56,5,122,18905,1430,Fran Tarkenton,148
12,Miami (FL),FL,390,30,9,181,21905,1924,Ray Lewis,160
13,Florida,FL,387,49,2,88,19131,1488,Emmitt Smith,129
14,Tennessee,TN,372,27,3,144,20231,1295,Peyton Manning,176
15,UCLA,CA,364,29,6,104,19591,1012,Jimmy Johnson,103
16,Texas,TX,361,34,4,120,18570,1044,Steve McMichael,100
17,Pittsburgh,PA,360,23,10,125,16048,1050,Dan Marino,145
18,Wisconsin,WI,360,29,4,87,16018,961,Russell Wilson,125
19,Michigan St.,MI,350,18,3,112,15953,1086,Herb Adderley,106
20,Texas A&M,TX,349,32,1,108,17366,957,Richmond Webb,102
21,Washington,WA,337,35,3,73,16373,737,Warren Moon,116
22,Florida St.,FL,332,27,5,100,17932,1098,Derrick Brooks,142
23,Auburn,AL,330,28,2,70,16855,964,Cam Newton,115
24,Iowa,IA,325,38,5,90,14496,713,Paul Krause,119
25,Illinois,IL,311,17,5,60,14401,853,Ray Nitschke,95
26,Arizona St.,AZ,309,17,5,98,15283,1081,Randall McDaniel,129
27,Stanford,CA,302,32,4,82,14417,1129,John Elway,140
28,Purdue,IN,301,17,3,108,14214,670,Drew Brees,167
29,Oregon,OR,284,27,6,86,12976,676,Dan Fouts,123
30,Arkansas,AR,282,25,3,55,10860,701,Dan Hampton,102
31,California,CA,282,21,2,111,16138,990,Aaron Rodgers,159
32,Minnesota,MN,279,16,7,77,10636,559,Carl Eller,132
33,Clemson,SC,278,37,1,61,13356,894,Brian Dawkins,104
34,Mississippi,MS,277,21,2,71,11874,729,Eli Manning,121
35,Syracuse,NY,273,9,7,92,11594,964,Marvin Harrison,123
36,North Carolina,NC,270,20,2,70,14378,712,Lawrence Taylor,146
37,Colorado,CO,261,14,1,38,14321,776,Cliff Branch,87
38,Boston Col.,MA,252,18,2,61,12320,429,Matt Ryan,144
39,Baylor,TX,250,18,1,61,10056,464,Mike Singletary,124
40,Maryland,MD,243,18,2,63,11676,593,Randy White,116
41,Missouri,MO,239,21,2,45,9357,606,Justin Smith,101
42,Mississippi St.,MS,233,23,0,38,9406,303,Kent Hull,88
43,West Virginia,WV,228,17,2,43,9570,564,Chuck Howley,94
44,Oklahoma St.,OK,226,24,2,56,8866,628,Barry Sanders,120
45,Indiana,IN,224,10,1,40,8422,505,Trent Green,94
46,San Diego St.,CA,223,10,1,40,10197,669,Marshall Faulk,132
47,South Carolina,SC,223,28,0,40,9619,717,John Abraham,91
48,TCU,TX,214,24,3,48,8105,529,LaDainian Tomlinson,129
49,Utah,UT,213,22,2,46,8235,630,Steve Smith,102
50,Northwestern,IL,212,13,2,47,7852,414,Chris Hinton,79
51,Virginia,VA,207,13,2,45,10215,726,Ronde Barber,109
52,Kentucky,KY,206,19,2,50,9661,397,George Blanda,97
53,Georgia Tech,GA,204,10,3,47,10027,623,Pat Swilling,98
54,Washington St.,WA,201,10,3,50,9388,492,Drew Bledsoe,105
55,Arizona,AZ,200,10,0,26,8728,376,Lance Briggs,98
56,Kansas St.,KS,199,13,0,20,8317,615,Steve Grogan,91
57,North Carolina St.,NC,199,24,1,55,9645,622,Philip Rivers,149
58,Oregon St.,OR,190,19,0,30,8298,511,Chad Johnson,85
