Year,Age,Tm,Pos,No.,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,AV,Awards
1987,22,BUF,LOLB,55,8,7,,,,,,5,0,0,0,0,8.5,69,,,,,,4,
1988*+,23,BUF,LOLB,55,16,16,2,30,0,30,,3,0,3,0,0,9.5,103,,,,,,17,AP DPoY-4 AP1 PB
1989,24,BUF,LOLB,55,12,12,2,5,0,6,,1,0,2,5,0,5.5,54,,,,,,8,
1990*,25,BUF,LOLB,97,16,16,,,,,,3,0,2,0,0,4,96,,,,,,10,PB
1991*,26,BUF,LOLB,97,16,16,,,,,,4,0,2,9,1,9,107,,,,,,11,AP DPoY-6 PB
1992*,27,BUF,LOLB,97,15,15,,,,,,2,0,3,0,0,4,81,,,,,,11,PB
1993*,28,BUF,LOLB,97,16,16,1,5,0,5,,2,1,2,40,0,5,102,,,,,,11,PB
1994,29,BUF,LOLB,97,16,16,,,,,,1,0,3,14,0,5,77,58,19,,,,7,
1995,30,BUF,RILB,97,14,14,1,69,1,69,,1,0,2,0,0,2,104,81,23,,,,9,
1996,31,ATL,LLB,97,13,13,1,3,0,3,,2,0,2,0,0,3,60,52,8,,,,4,
1997,32,ATL,LLB,97,16,16,,,,,,2,0,1,0,0,7,90,68,22,,,,7,
1998,33,ATL,LLB,97,16,16,,,,,,0,0,2,10,0,1,92,69,23,,,,8,
1999,34,IND,LLB,97,16,16,0,0,0,0,5,5,0,2,0,0,5,105,72,33,10,,,8,
2000,35,IND,LLB,97,16,15,0,0,0,0,4,0,0,1,0,0,3,50,36,14,6,,,7,
Career,,,,,206,204,7,112,1,69,9,31,1,27,78,1,71.5,1190,436,142,16,,,122,
9 yrs,,BUF,,,129,128,6,109,1,69,,22,1,19,68,1,52.5,793,139,42,,,,88,
3 yrs,,ATL,,,45,45,1,3,0,3,,4,0,5,10,0,11,242,189,53,,,,19,
2 yrs,,IND,,,32,31,0,0,0,0,9,5,0,3,0,0,8,155,108,47,16,,,15,
