Year,Age,Tm,Pos,No.,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Sfty,AV,Awards
1962,22,DAL,db,34,14,5,,,,,,,,,,,0,,2,
1963,23,DAL,LCB,34,14,14,7,211,0,55,,,0,1,20,1,0,,8,
1964,24,DAL,LCB,34,14,14,,,,,,,,,,,0,,7,
1965*,25,DAL,LCB,34,14,14,3,49,0,43,,,0,2,9,1,0,,10,PB
1966*+,26,DAL,LCB,34,14,14,4,88,1,41,,,0,1,0,0,0,,16,AP1 PB
1967*+,27,DAL,LCB,34,14,14,7,52,0,28,,,1,0,0,0,0,,14,AP1 PB
1968,28,DAL,LCB,34,14,14,4,74,1,55,,,,,,,0,,14,AP2
1969,29,DAL,LCB,34,14,14,2,0,0,0,,,,,,,0,,12,AP2
1970,30,DAL,SS,34,14,14,1,59,0,59,,,0,1,0,0,0,,7,
1971*,31,DAL,SS,34,14,14,2,16,0,12,,,1,0,0,0,0,,10,PB
1972*,32,DAL,SS,34,14,14,2,1,0,1,,,,,,,0.5,,10,PB
1973,33,DAL,SS,34,14,14,,,,,,,0,1,0,0,1,,8,
1974,34,DAL,SS,34,14,14,2,2,0,2,,,0,1,0,0,1,,9,
Career,,,,,182,173,34,552,2,59,,,2,7,29,2,2.5,,127,
