Year,Age,Tm,Pos,No.,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,AV,Awards
1990,22,SEA,dt,96,16,2,,,,,,1,0,1,0,0,1,48,,,,,,3,
1991*,23,SEA,RDT,96,16,16,,,,,,1,0,1,0,0,6.5,73,,,,,,13,PB
1992*+,24,SEA,RDT,99,16,16,,,,,,4,1,1,19,0,14,92,,,,,,19,AP MVP-5 AP DPoY-1 AP1 PB
1993*+,25,SEA,RDT,96,16,16,,,,,,1,0,1,0,0,6.5,77,,,,,,15,AP DPoY-8 AP1 PB
1994*+,26,SEA,RDT,96,16,16,,,,,,0,0,1,0,0,4,70,54,16,,,,15,AP1 PB
1995*,27,SEA,RDT,96,16,16,,,,,,1,0,0,0,0,6.5,54,40,14,,,,11,PB
1996*,28,SEA,RDT,96,16,16,,,,,,1,0,0,0,0,8,69,51,18,,,,11,AP2 PB
1997,29,SEA,rdt,96,8,8,,,,,,,,,,,2,18,10,8,,,,3,
1998*,30,SEA,RDT,96,15,15,,,,,,0,0,1,39,1,2,43,30,13,,,,10,PB
1999*,31,SEA,RDT,96,16,16,2,12,0,7,6,2,0,0,0,0,6.5,75,62,13,13,,,13,PB
2000,32,SEA,RDT,96,16,16,1,14,0,14,9,,,,,,1,50,32,18,2,,,6,
Career,,,,,167,153,3,26,0,14,15,11,1,6,58,1,58,669,279,100,15,,,119,
