Year,Age,Tm,Pos,No.,G,GS,Tgt,Rec,Yds,Y/R,TD,1D,Lng,R/G,Y/G,Ctch%,Y/Tgt,Rush,Yds,TD,1D,Lng,Y/A,Y/G,A/G,Touch,Y/Tch,YScm,RRTD,Fmb,AV,Awards
1987,22,PHI,wr,80,9,0,,5,84,16.8,2,,25,0.6,9.3,,,,,,,,,,,5,16.8,84,2,0,1,
1988,23,PHI,WR,80,16,16,,39,761,19.5,6,,80,2.4,47.6,,,1,1,0,,1,1,0.1,0.1,40,19.1,762,6,0,7,
1989,24,PHI,WR,80,16,15,,45,605,13.4,11,,42,2.8,37.8,,,2,16,0,,11,8,1,0.1,47,13.2,621,11,1,6,
1990,25,MIN,wr,80,16,5,,27,413,15.3,3,,78,1.7,25.8,,,2,6,0,,8,3,0.4,0.1,29,14.4,419,3,0,4,
1991,26,MIN,WR,80,16,16,,72,962,13.4,5,,50,4.5,60.1,,,,,,,,,,,72,13.4,962,5,1,11,
1992,27,MIN,WR,80,12,12,92,53,681,12.8,6,,44,4.4,56.8,57.60%,7.4,5,15,0,,6,3,1.3,0.4,58,12,696,6,1,7,
1993*,28,MIN,WR,80,16,16,143,86,1071,12.5,9,,58,5.4,66.9,60.10%,7.5,,,,,,,,,86,12.5,1071,9,0,9,PB
1994*+,29,MIN,WR,80,16,16,188,122,1256,10.3,7,62,65,7.6,78.5,64.90%,6.7,,,,,,,,,122,10.3,1256,7,4,9,AP OPoY-4 AP1 PB
1995*,30,MIN,WR,80,16,16,197,122,1371,11.2,17,80,60,7.6,85.7,61.90%,7,1,0,0,0,0,0,0,0.1,123,11.1,1371,17,0,12,AP2 PB
1996*,31,MIN,WR,80,16,16,167,96,1163,12.1,10,57,43,6,72.7,57.50%,7,,,,,,,,,96,12.1,1163,10,1,9,PB
1997*,32,MIN,WR,80,16,16,158,89,1069,12,13,55,43,5.6,66.8,56.30%,6.8,,,,,,,,,89,12,1069,13,3,10,PB
1998*,33,MIN,WR,80,16,16,125,78,1011,13,12,57,54,4.9,63.2,62.40%,8.1,1,-1,0,0,-1,-1,-0.1,0.1,79,12.8,1010,12,0,14,PB
1999*+,34,MIN,WR,80,16,16,137,90,1241,13.8,13,66,68,5.6,77.6,65.70%,9.1,,,,,,,,,90,13.8,1241,13,0,12,AP1 PB
2000*,35,MIN,WR,80,16,16,161,96,1274,13.3,9,72,53,6,79.6,59.60%,7.9,,,,,,,,,96,13.3,1274,9,3,15,PB
2001,36,MIN,WR,80,16,16,130,73,871,11.9,6,45,52,4.6,54.4,56.20%,6.7,1,4,0,0,4,4,0.3,0.1,74,11.8,875,6,2,8,
2002,37,MIA,wr,88,5,1,17,8,66,8.3,1,5,15,1.6,13.2,47.10%,3.9,,,,,,,,,8,8.3,66,1,1,1,
Career,,,,,234,209,1515,1101,13899,12.6,130,499,80,4.7,59.4,60.30%,7.3,13,41,0,0,11,3.2,0.2,0.1,1114,12.5,13940,130,17,135,
12 yrs,,MIN,,,188,177,1498,1004,12383,12.3,110,494,78,5.3,65.9,60.40%,7.3,10,24,0,0,8,2.4,0.1,0.1,1014,12.2,12407,110,15,120,
3 yrs,,PHI,,,41,31,,89,1450,16.3,19,0,80,2.2,35.4,0%,,3,17,0,0,11,5.7,0.4,0.1,92,15.9,1467,19,1,14,
1 yr,,MIA,,,5,1,17,8,66,8.3,1,5,15,1.6,13.2,47.10%,3.9,,,,,,,,,8,8.3,66,1,1,1,
