Year,Age,Tm,Pos,No.,G,GS,Rush,Yds,TD,1D,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds,Y/R,TD,1D,Lng,R/G,Y/G,Ctch%,Y/Tgt,Touch,Y/Tch,YScm,RRTD,Fmb,AV,Awards
1995*,22,NWE,RB,28,16,15,368,1487,14,79,49,4,92.9,23,50,30,261,8.7,1,9,27,1.9,16.3,60.00%,5.2,398,4.4,1748,15,5,11,AP ORoY-1 PB
1996*,23,NWE,RB,28,16,15,316,1152,14,79,57,3.6,72,19.8,52,46,333,7.2,3,15,41,2.9,20.8,88.50%,6.4,362,4.1,1485,17,4,13,PB
1997,24,NWE,RB,28,13,13,274,1160,4,47,70,4.2,89.2,21.1,51,41,296,7.2,1,12,22,3.2,22.8,80.40%,5.8,315,4.6,1456,5,3,12,
1998*,25,NYJ,RB,28,15,15,369,1287,8,70,60,3.5,85.8,24.6,57,43,365,8.5,1,17,23,2.9,24.3,75.40%,6.4,412,4,1652,9,5,14,PB
1999,26,NYJ,RB,28,16,16,367,1464,5,87,50,4,91.5,22.9,49,45,259,5.8,0,9,34,2.8,16.2,91.80%,5.3,412,4.2,1723,5,2,14,AP2
2000,27,NYJ,RB,28,16,16,316,1204,9,64,55,3.8,75.3,19.8,96,70,508,7.3,2,25,31,4.4,31.8,72.90%,5.3,386,4.4,1712,11,2,11,
2001*,28,NYJ,RB,28,16,16,333,1513,10,78,47,4.5,94.6,20.8,63,53,320,6,0,13,27,3.3,20,84.10%,5.1,386,4.7,1833,10,2,15,AP2 PB
2002,29,NYJ,RB,28,16,16,261,1094,7,55,35,4.2,68.4,16.3,56,49,362,7.4,0,17,28,3.1,22.6,87.50%,6.5,310,4.7,1456,7,0,12,
2003,30,NYJ,RB,28,16,16,323,1308,2,57,56,4,81.8,20.2,53,42,262,6.2,0,9,29,2.6,16.4,79.20%,4.9,365,4.3,1570,2,2,11,
2004*+,31,NYJ,RB,28,16,16,371,1697,12,93,25,4.6,106.1,23.2,49,41,245,6,2,12,22,2.6,15.3,83.70%,5,412,4.7,1942,14,2,14,AP OPoY-4 AP1 PB
2005,32,NYJ,RB,28,12,12,220,735,5,37,49,3.3,61.3,18.3,30,24,118,4.9,0,3,14,2,9.8,80.00%,3.9,244,3.5,853,5,2,4,
Career,,,,,168,166,3518,14101,90,746,70,4,83.9,20.9,606,484,3329,6.9,10,141,41,2.9,19.8,79.90%,5.5,4002,4.4,17430,100,29,131,
8 yrs,,NYJ,,,123,123,2560,10302,58,541,60,4,83.8,20.8,453,367,2439,6.6,5,105,34,3,19.8,81.00%,5.4,2927,4.4,12741,63,17,95,
3 yrs,,NWE,,,45,43,958,3799,32,205,70,4,84.4,21.3,153,117,890,7.6,5,36,41,2.6,19.8,76.50%,5.8,1075,4.4,4689,37,12,36,
