Year,Age,Tm,Pos,No.,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,Sk%,NY/A,ANY/A,4QC,GWD,AV,Awards
1973,22,SDG,QB,14,10,6,0-5-1,87,194,44.8,1126,6,3.1,13,6.7,69,5.8,3.4,12.9,112.6,46,14,129,6.7,4.79,2.56,1,0,2,
1974,23,SDG,QB,14,11,11,3-8-0,115,237,48.5,1732,8,3.4,13,5.5,75,7.3,5.5,15.1,157.5,61.4,12,99,4.8,6.56,4.85,2,2,7,
1975,24,SDG,QB,14,10,9,2-7-0,106,195,54.4,1396,2,1,10,5.1,57,7.2,5.1,13.2,139.6,59.3,25,197,11.4,5.45,3.59,1,1,6,
1976,25,SDG,QB,14,14,13,5-8-0,208,359,57.9,2535,14,3.9,15,4.2,81,7.1,6,12.2,181.1,75.4,39,220,9.8,5.82,4.82,1,2,11,
1977,26,SDG,QB,14,4,4,2-2-0,69,109,63.3,869,4,3.7,6,5.5,67,8,6.2,12.6,217.3,77.4,10,77,8.4,6.66,5.06,1,1,4,
1978,27,SDG,QB,14,15,14,9-5-0,224,381,58.8,2999,24,6.3,20,5.2,55,7.9,6.8,13.4,199.9,83,22,130,5.5,7.12,6.08,1,2,12,
1979*+,28,SDG,QB,14,16,16,12-4-0,332,530,62.6,4082,24,4.5,24,4.5,65,7.7,6.6,12.3,255.1,82.6,28,195,5,6.97,5.89,1,1,16,AP MVP-2 AP OPoY-2 AP1 PB
1980*,29,SDG,QB,14,16,16,11-5-0,348,589,59.1,4715,30,5.1,24,4.1,65,8,7.2,13.5,294.7,84.7,32,210,5.2,7.25,6.48,1,2,17,AP MVP-5 AP OPoY-3 AP2 PB
1981*,30,SDG,QB,14,16,16,10-6-0,360,609,59.1,4802,33,5.4,17,2.8,67,7.9,7.7,13.3,300.1,90.6,19,134,3,7.43,7.27,3,3,19,AP MVP-6 AP OPoY-5 PB
1982*+,31,SDG,QB,14,9,9,6-3-0,204,330,61.8,2883,17,5.2,11,3.3,44,8.7,8.3,14.1,320.3,93.3,12,94,3.5,8.15,7.7,1,2,21,AP MVP-2 AP OPoY-1 AP1 PB
1983*,32,SDG,QB,14,10,10,5-5-0,215,340,63.2,2975,20,5.9,15,4.4,59,8.8,7.9,13.8,297.5,92.5,14,107,4,8.1,7.32,2,1,10,PB
1984,33,SDG,QB,14,13,13,6-7-0,317,507,62.5,3740,19,3.7,17,3.4,61,7.4,6.6,11.8,287.7,83.4,29,228,5.4,6.55,5.83,1,1,11,
1985*,34,SDG,QB,14,14,12,7-5-0,254,430,59.1,3638,27,6.3,20,4.7,75,8.5,7.6,14.3,259.9,88.1,18,135,4,7.82,7.02,3,3,13,AP2 PB
1986,35,SDG,QB,14,12,12,3-9-0,252,430,58.6,3031,16,3.7,22,5.1,65,7,5.5,12,252.6,71.4,21,173,4.7,6.34,4.85,,,9,
1987,36,SDG,QB,14,11,10,5-5-0,206,364,56.6,2517,10,2.7,15,4.1,46,6.9,5.6,12.2,228.8,70,24,176,6.2,6.03,4.81,2,2,5,
Career,,,,,181,171,86-84-1,3297,5604,58.8,43040,254,4.5,242,4.3,81,7.7,6.6,13.1,237.8,80.2,319,2304,5.4,6.88,5.9,21,23,163,
