Year,Age,Tm,Pos,No.,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Sfty,AV,Awards
1979,22,CHI,LDE,99,16,16,,,,,,,0,2,0,0,4.5,,8,AP DRoY-3
1980*,23,CHI,LDE,99,16,16,,,,,,,,,,,11.5,,11,PB
1981,24,CHI,LDE,99,16,16,,,,,,,,,,,9,,8,
1982*,25,CHI,RDT,99,9,9,,,,,,,,,,,9,,14,AP2 PB
1983,26,CHI,RDE,99,11,11,,,,,,,,,,,5,,6,
1984*+,27,CHI,RDT,99,15,15,,,,,,,0,3,0,0,11.5,,19,AP DPoY-6 AP1 PB
1985*,28,CHI,LDE/rdt,99,16,15,,,,,,,0,3,0,0,6.5,,15,AP2 PB
1986,29,CHI,LDE,99,16,16,,,,,,,0,2,0,0,10,1,18,AP2
1987,30,CHI,LDE,99,8,8,,,,,,,,,,,3.5,,4,
1988,31,CHI,RDT,99,16,16,,,,,,,,,,,9.5,,16,AP2
1989,32,CHI,dt,99,4,4,,,,,,,,,,,2,,2,
1990,33,CHI,RDT,99,14,9,,,,,,,,,,,0,,4,
Career,,,,,157,151,,,,,,,0,10,0,0,82,1,125,
