Year,Age,Tm,Pos,No.,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,Sk%,NY/A,ANY/A,4QC,GWD,AV,Awards
1983*,22,MIA,QB,13,11,9,7-2-0,173,296,58.4,2210,20,6.8,6,2,,85,7.5,7.9,12.8,200.9,96,10,80,3.3,6.96,7.39,1,2,10,AP MVP-3 AP OPoY-3 AP ORoY-2 AP2 PB
1984*+,23,MIA,QB,13,16,16,14-2-0,362,564,64.2,5084,48,8.5,17,3,,80,9,9.4,14,317.8,108.9,13,120,2.3,8.6,8.94,2,3,21,AP MVP-1 AP OPoY-1 AP1 PB
1985*+,24,MIA,QB,13,16,16,12-4-0,336,567,59.3,4137,30,5.3,21,3.7,,73,7.3,6.7,12.3,258.6,84.1,18,157,3.1,6.8,6.21,3,5,15,AP1 PB
1986*+,25,MIA,QB,13,16,16,8-8-0,378,623,60.7,4746,44,7.1,23,3.7,,85,7.6,7.4,12.6,296.6,92.5,17,119,2.7,7.23,6.99,1,2,19,AP MVP-3 AP OPoY-2 AP1 PB
1987*,26,MIA,QB,13,12,12,7-5-0,263,444,59.2,3245,26,5.9,13,2.9,,59,7.3,7.2,12.3,270.4,89.2,9,77,2,6.99,6.85,2,2,12,PB
1988,27,MIA,QB,13,16,16,6-10-0,354,606,58.4,4434,28,4.6,23,3.8,,80,7.3,6.5,12.5,277.1,80.8,6,31,1,7.19,6.42,1,2,14,AP OPoY-4
1989,28,MIA,QB,13,16,16,8-8-0,308,550,56,3997,24,4.4,22,4,,78,7.3,6.3,13,249.8,76.9,10,86,1.8,6.98,6.07,2,4,12,
1990,29,MIA,QB,13,16,16,12-4-0,306,531,57.6,3563,21,4,11,2.1,,69,6.7,6.6,11.6,222.7,82.6,15,90,2.7,6.36,6.22,3,3,12,
1991*,30,MIA,QB,13,16,16,8-8-0,318,549,57.9,3970,25,4.6,13,2.4,,54,7.2,7.1,12.5,248.1,85.8,27,182,4.7,6.58,6.43,1,3,15,PB
1992*,31,MIA,QB,13,16,16,11-5-0,330,554,59.6,4116,24,4.3,16,2.9,,62,7.4,7,12.5,257.3,85.1,28,173,4.8,6.77,6.36,6,6,15,PB
1993,32,MIA,QB,13,5,5,4-1-0,91,150,60.7,1218,8,5.3,3,2,,80,8.1,8.3,13.4,243.6,95.9,7,42,4.5,7.49,7.65,1,1,5,
1994*,33,MIA,QB,13,16,16,10-6-0,385,615,62.6,4453,30,4.9,17,2.8,214,64,7.2,7,11.6,278.3,89.2,18,113,2.8,6.86,6.6,4,4,15,AP2 PB
1995*,34,MIA,QB,13,14,14,9-5-0,309,482,64.1,3668,24,5,15,3.1,185,67,7.6,7.2,11.9,262,90.8,22,153,4.4,6.97,6.59,2,3,12,AP2 PB
1996,35,MIA,QB,13,13,13,7-6-0,221,373,59.2,2795,17,4.6,9,2.4,121,74,7.5,7.3,12.6,215,87.8,18,131,4.6,6.81,6.65,0,1,9,
1997,36,MIA,QB,13,16,16,9-7-0,319,548,58.2,3780,16,2.9,11,2,188,55,6.9,6.6,11.8,236.3,80.7,20,132,3.5,6.42,6.11,1,3,13,
1998,37,MIA,QB,13,16,16,10-6-0,310,537,57.7,3497,23,4.3,15,2.8,173,61,6.5,6.1,11.3,218.6,80,23,178,4.1,5.93,5.54,1,1,10,
1999,38,MIA,QB,13,11,11,5-6-0,204,369,55.3,2448,12,3.3,17,4.6,122,62,6.6,5.2,12,222.5,67.4,9,66,2.4,6.3,4.91,2,2,7,
Career,,,,,242,240,147-93-0,4967,8358,59.4,61361,420,5,252,3,1003,85,7.3,7,12.4,253.6,86.4,270,1930,3.1,6.89,6.55,33,47,216,
