Year,Age,Tm,Pos,No.,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,AV,Awards
1983,23,WAS,LCB,28,16,16,2,7,0,7,,,1,1,0,0,0,109,,,,,,6,AP DRoY-2
1984*,24,WAS,LCB,28,16,16,5,91,1,50,,,,,,,0,88,,,,,,11,PB
1985,25,WAS,LCB,28,16,16,2,0,0,0,,,2,1,0,0,0,84,,,,,,8,
1986*,26,WAS,LCB,28,16,15,5,9,0,7,,,1,1,0,0,0,70,,,,,,13,AP2 PB
1987*,27,WAS,LCB,28,12,12,3,65,0,56,,,0,1,26,1,0,48,,,,,,9,PB
1988,28,WAS,RCB,28,15,15,1,12,0,12,,,1,1,0,0,1,63,,,,,,6,
1989,29,WAS,rcb,28,7,7,2,0,0,0,,,1,1,0,0,0,29,,,,,,4,
1990*,30,WAS,RCB,28,16,16,4,20,1,18,,,,,,,0,78,,,,,,15,AP2 PB
1991*+,31,WAS,RCB,28,16,16,5,47,0,24,,,,,,,0,79,,,,,,18,AP1 PB
1992,32,WAS,rcb,28,8,7,1,15,0,15,,,,,,,0,35,,,,,,3,
1993,33,WAS,RCB,28,16,16,4,10,0,6,,0,0,2,86,1,0,89,,,,,,7,
1994,34,WAS,RCB,28,16,16,3,32,1,27,,,,,,,0,55,52,3,,,,6,
1995,35,WAS,RCB,28,16,16,3,42,1,22,,,,,,,0,53,48,5,,,,7,
1996*,36,WAS,RCB,28,16,16,3,84,1,68,,3,0,1,15,0,0,62,57,5,,,,10,PB
1997*,37,WAS,RCB,28,16,16,1,83,1,83,,,,,,,0,54,41,13,,,,10,PB
1998,38,WAS,RCB,28,16,16,3,36,0,36,,,,,,,0,65,64,1,,,,7,
1999,39,WAS,RCB,28,16,16,3,33,0,25,15,0,0,1,4,0,0,56,50,6,0,,,6,
2000,40,WAS,db,28,13,2,3,35,0,33,8,2,0,0,0,0,0,24,23,1,0,,,2,
2001,41,WAS,db,28,16,4,1,0,0,0,7,,,,,,0,37,33,4,5,,,2,
2002,42,WAS,db,28,16,4,0,0,0,0,3,,,,,,0,24,22,2,2,,,2,
Career,,,,,295,258,54,621,6,83,33,5,6,10,131,2,1,1202,390,40,7,,,152,
