Year,Age,Tm,Pos,No.,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,AV,Awards
2007,22,NYJ,LCB,24,16,16,3,20,0,19,17,0,0,1,0,0,0,88,76,12,0,2,,7,
2008*,23,NYJ,LCB,24,16,16,5,38,1,32,16,1,0,2,0,0,1,58,45,13,2,1,,11,PB
2009*+,24,NYJ,LCB,24,16,16,6,121,1,67,31,,,,,,0,54,47,7,0,0,,22,AP DPoY-2 AP1 PB
2010*+,25,NYJ,LCB,24,13,13,0,0,0,0,10,0,0,2,10,0,0,32,26,6,0,0,,14,AP1 PB
2011*+,26,NYJ,LCB,24,16,16,4,184,1,100,21,,,,,,0,52,41,11,1,0,,17,AP1 PB
2012,27,NYJ,db,24,2,2,1,1,0,1,3,0,0,1,0,0,0,12,9,3,0,0,,1,
2013*,28,TAM,LCB,24,16,16,2,3,0,3,11,2,0,1,0,0,1,50,43,7,3,1,,6,AP CPoY-4 PB
2014*+,29,NWE,LCB,24,16,16,2,0,0,0,14,1,0,1,0,0,0,47,41,6,2,0,,15,AP1 PB
2015*,30,NYJ,RCB,24,14,14,5,48,0,24,9,0,0,4,18,0,0,39,30,9,0,0,,11,PB
2016,31,NYJ,RCB,24,15,15,1,51,0,51,5,,,,,,0,53,43,10,1,0,,5,
2017,32,KAN,db,24,5,2,0,0,0,0,2,,,,,,0,11,10,1,0,0,,1,
Career,,,,,145,142,29,466,3,100,139,4,0,12,28,0,2,496,411,85,9,4,,110,
8 yrs,,NYJ,,,108,108,25,463,3,100,112,1,0,10,28,0,1,388,317,71,4,3,,88,
1 yr,,KAN,,,5,2,0,0,0,0,2,,,,,,0,11,10,1,0,0,,1,
1 yr,,NWE,,,16,16,2,0,0,0,14,1,0,1,0,0,0,47,41,6,2,0,,15,
1 yr,,TAM,,,16,16,2,3,0,3,11,2,0,1,0,0,1,50,43,7,3,1,,6,
