Year,Age,Tm,Pos,No.,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,Sk%,NY/A,ANY/A,4QC,GWD,AV,Awards
1980,22,SEA,qb,17,1,0,,0,2,0,0,0,0,0,0,,0,0,0,,0,39.6,1,6,33.3,-2,-2,,,0,
1981,23,SEA,qb,17,7,3,2-1-0,64,112,57.1,843,7,6.3,5,4.5,,57,7.5,6.8,13.2,120.4,83.3,11,85,8.9,6.16,5.47,1,1,3,
1982,24,SEA,qb,17,3,2,0-2-0,49,78,62.8,501,2,2.6,2,2.6,,44,6.4,5.8,10.2,167,79.1,16,117,17,4.09,3.55,1,1,2,
1983,25,SEA,QB,17,9,8,5-3-0,147,243,60.5,2139,18,7.4,11,4.5,,50,8.8,8.2,14.6,237.7,95,38,279,13.5,6.62,6.14,1,1,9,
1984*,26,SEA,QB,17,16,16,12-4-0,276,480,57.5,3671,32,6.7,24,5,,80,7.6,6.7,13.3,229.4,83.3,40,314,7.7,6.46,5.61,1,2,13,PB
1985,27,SEA,QB,17,16,16,8-8-0,285,532,53.6,3602,27,5.1,20,3.8,,54,6.8,6.1,12.6,225.1,76.2,52,448,8.9,5.4,4.78,2,2,11,
1986,28,SEA,QB,17,15,14,10-4-0,225,375,60,2921,21,5.6,11,2.9,,72,7.8,7.6,13,194.7,91,35,281,8.5,6.44,6.26,1,1,12,
1987,29,SEA,QB,17,12,12,7-5-0,178,294,60.5,2131,23,7.8,15,5.1,,75,7.2,6.5,12,177.6,87.6,27,247,8.4,5.87,5.2,,,11,
1988*,30,SEA,QB,17,9,9,6-3-0,134,228,58.8,1741,18,7.9,8,3.5,,75,7.6,7.6,13,193.4,94.6,12,92,5,6.87,6.87,2,2,8,PB
1989*,31,SEA,QB,17,15,14,7-7-0,286,499,57.3,3309,21,4.2,20,4,,60,6.6,5.7,11.6,220.6,74.8,37,289,6.9,5.63,4.74,3,4,10,PB
1990,32,SEA,QB,17,16,16,9-7-0,265,448,59.2,3194,15,3.3,20,4.5,,63,7.1,5.8,12.1,199.6,73.6,40,360,8.2,5.81,4.58,4,5,11,
1991,33,SEA,QB,17,10,9,4-5-0,187,285,65.6,2080,11,3.9,12,4.2,,60,7.3,6.2,11.1,208,82.5,32,216,10.1,5.88,4.87,,,7,
1992,34,KAN,QB,17,16,16,10-6-0,230,413,55.7,3115,15,3.6,12,2.9,,77,7.5,7,13.5,194.7,79.9,48,323,10.4,6.06,5.54,1,1,12,
1993,35,KAN,qb,17,12,5,3-2-0,105,189,55.6,1238,7,3.7,3,1.6,,66,6.6,6.6,11.8,103.2,81.4,22,138,10.4,5.21,5.24,1,1,5,
1994,36,DET,qb,17,14,7,5-2-0,131,212,61.8,1629,14,6.6,3,1.4,81,51,7.7,8.4,12.4,116.4,101.7,14,100,6.2,6.77,7.41,1,1,8,
1995,37,ARI,QB,17,16,16,4-12-0,304,521,58.3,3554,16,3.1,21,4,167,48,6.8,5.6,11.7,222.1,72.6,53,380,9.2,5.53,4.44,3,2,8,
1996,38,CHI,QB,17,13,12,6-6-0,226,377,59.9,2278,14,3.7,12,3.2,126,53,6,5.4,10.1,175.2,76.3,14,104,3.6,5.56,4.9,1,1,7,
1997,39,TEN,qb,17,8,0,,1,2,50,2,0,0,0,0,,2,1,1,2,0.3,56.2,0,0,0,1,1,,,0,
1998,40,TEN,qb,17,5,0,,12,21,57.1,199,0,0,0,0,7,55,9.5,9.5,16.6,39.8,89.2,2,15,8.7,8,8,,,1,
Career,,,,,213,175,98-77-0,3105,5311,58.5,38147,261,4.9,199,3.7,381,80,7.2,6.5,12.3,179.1,81.5,494,3794,8.5,5.92,5.27,23,25,138,
12 yrs,,SEA,,,129,119,70-49-0,2096,3576,58.6,26132,195,5.5,148,4.1,0,80,7.3,6.5,12.5,202.6,82.3,341,2734,8.7,5.97,5.27,16,19,97,
2 yrs,,KAN,,,28,21,13-8-0,335,602,55.6,4353,22,3.7,15,2.5,0,77,7.2,6.8,13,155.5,80.4,70,461,10.4,5.79,5.44,2,2,17,
2 yrs,,TEN,,,13,0,,13,23,56.5,201,0,0,0,0,7,55,8.7,8.7,15.5,15.5,85.6,2,15,8,7.44,7.44,,,1,
1 yr,,ARI,,,16,16,4-12-0,304,521,58.3,3554,16,3.1,21,4,167,48,6.8,5.6,11.7,222.1,72.6,53,380,9.2,5.53,4.44,3,2,8,
1 yr,,CHI,,,13,12,6-6-0,226,377,59.9,2278,14,3.7,12,3.2,126,53,6,5.4,10.1,175.2,76.3,14,104,3.6,5.56,4.9,1,1,7,
1 yr,,DET,,,14,7,5-2-0,131,212,61.8,1629,14,6.6,3,1.4,81,51,7.7,8.4,12.4,116.4,101.7,14,100,6.2,6.77,7.41,1,1,8,
