Year,Age,Tm,Pos,No.,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Sfty,AV,Awards
1961,23,RAM,lde,75,14,6,,,,,,,0,3,10,0,9.5,,4,
1962,24,RAM,LDE,75,14,14,,,,,,,0,1,0,0,12,,8,
1963,25,RAM,LDE,75,14,14,1,0,0,0,,,0,1,0,0,6,,7,
1964*,26,RAM,LDE,75,14,14,,,,,,,0,3,0,0,22,,11,AP2 PB
1965*+,27,RAM,LDE,75,14,14,,,,,,,,,,,19,1,11,AP1 PB
1966*+,28,RAM,LDE,75,14,14,1,50,0,50,,,0,1,0,0,16,,16,AP1 PB
1967*+,29,RAM,LDE,75,14,14,,,,,,,0,1,0,0,21.5,1,17,AP MVP-2 UPI MVP-2 AP1 PB
1968*+,30,RAM,LDE,75,14,14,,,,,,,,,,,22,,16,AP1 PB
1969*+,31,RAM,LDE,75,14,14,,,,,,,0,1,0,0,15,,13,AP MVP-6 UPI MVP-7 AP1 PB
1970*,32,RAM,LDE,75,14,13,,,,,,,0,1,0,0,12,,11,PB
1971,33,RAM,LDE,75,11,10,,,,,,,,,,,4.5,,5,
1972*,34,SDG,LDE,75,14,14,,,,,,,0,2,0,0,6,,8,PB
1973,35,SDG,LDE,75,12,12,,,,,,,0,1,0,0,5,,5,
1974,36,WAS,de,75,14,1,,,,,,,,,,,3,,2,
Career,,,,,191,168,2,50,0,50,,,0,15,10,0,173.5,2,134,
11 yrs,,RAM,,,151,141,2,50,0,50,,,0,12,10,0,159.5,2,119,
2 yrs,,SDG,,,26,26,,,,,,,0,3,0,0,11,,13,
1 yr,,WAS,,,14,1,,,,,,,,,,,3,,2,
