Year,Age,Tm,Pos,No.,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,AV,Awards
1989,22,ATL,RCB/LCB,21,15,10,5,52,0,22,,2,2,1,0,0,0,39,,,,,,5,
1990,23,ATL,RCB,21,16,16,3,153,2,82,,,4,2,0,0,0,50,,,,,,8,
1991*,24,ATL,RCB,21,15,15,6,119,1,55,,2,1,1,0,0,1,49,,,,,,14,AP2 PB
1992*+,25,ATL,RCB,21,13,12,3,105,0,55,,2,3,2,0,0,0,66,,,,,,13,AP1 PB
1993*+,26,ATL,RCB,21,11,10,7,91,0,41,,1,0,0,0,0,0,34,,,,,,13,AP DPoY-3 AP1 PB
1994*+,27,SFO,RCB,21,14,12,6,303,3,93,,0,0,1,0,0,0,36,34,2,,,,18,AP MVP-3 AP DPoY-1 AP1 PB
1995,28,DAL,LCB,21,9,9,2,34,0,34,,,,,,,0,26,25,1,,,,5,
1996*+,29,DAL,RCB/WR,21,16,15,2,3,0,2,,1,2,3,15,1,0,33,31,2,,,,23,AP1 PB
1997*+,30,DAL,RCB,21,13,12,2,81,1,50,,0,1,0,0,0,0,33,30,3,,,,17,AP1 PB
1998*+,31,DAL,RCB,21,11,11,5,153,1,71,,0,1,1,0,0,0,25,22,3,,,,18,AP DPoY-5 AP1 PB
1999*,32,DAL,RCB,21,14,14,3,2,0,2,6,1,1,0,0,0,0,42,40,2,3,,,15,AP2 PB
2000,33,WAS,RCB,21,16,15,4,91,0,32,9,1,3,2,0,0,0,41,38,3,0,,,8,
2001,,Missed season - Retired,,,,,,,,,,,,,,,,,,,,,,,
2002,,Missed season - Retired,,,,,,,,,,,,,,,,,,,,,,,
2003,,Missed season - Retired,,,,,,,,,,,,,,,,,,,,,,,
2004,37,BAL,DB,37,9,2,3,87,1,48,5,,,,,,0,8,7,1,0,,,2,
2005,38,BAL,DB,37,16,4,2,57,0,33,5,0,1,0,0,0,0,30,27,3,1,,,4,
Career,,,,,188,157,53,1331,9,93,25,10,19,13,15,1,1,512,254,20,4,,,163,
5 yrs,,ATL,,,70,63,24,520,3,82,,7,10,6,0,0,1,238,,0,,,,53,
5 yrs,,DAL,,,63,61,14,273,2,71,6,2,5,4,15,1,0,159,148,11,3,,,78,
2 yrs,,BAL,,,25,6,5,144,1,48,10,0,1,0,0,0,0,38,34,4,1,,,6,
1 yr,,SFO,,,14,12,6,303,3,93,,0,0,1,0,0,0,36,34,2,,,,18,
1 yr,,WAS,,,16,15,4,91,0,32,9,1,3,2,0,0,0,41,38,3,0,,,8,
