Year,Age,Tm,Pos,No.,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,AV,Awards
2005,23,DAL,ROLB,94,16,16,0,0,0,0,1,3,0,0,0,0,8,58,47,11,15,,,8,AP DRoY-4
2006*,24,DAL,ROLB,94,16,16,1,41,1,41,6,5,0,1,69,1,11.5,73,59,14,12,18,,11,AP2 PB
2007*+,25,DAL,ROLB,94,16,16,0,0,0,0,3,4,0,0,0,0,14,84,60,24,17,26,,14,AP DPoY-5 AP1 PB
2008*+,26,DAL,ROLB,94,16,16,0,0,0,0,2,6,0,1,0,0,20,84,69,15,27,30,,15,AP DPoY-2 AP1 PB
2009*+,27,DAL,ROLB,94,16,15,0,0,0,0,6,5,0,0,0,0,11,57,45,12,9,24,,16,AP1 PB
2010*,28,DAL,ROLB,94,16,16,0,0,0,0,1,2,0,2,22,1,15.5,66,56,10,21,23,,11,AP2 PB
2011*+,29,DAL,ROLB,94,16,16,0,0,0,0,2,2,0,1,0,0,19.5,58,48,10,26,29,,15,AP1 PB
2012*,30,DAL,ROLB,94,16,16,,,,,,5,0,1,0,0,11.5,56,33,23,9,23,,11,AP2 PB
2013,31,DAL,RDE,94,13,13,1,0,0,0,2,0,0,1,0,0,6,40,28,12,9,12,,5,
2014*,32,DEN,RDE,94,16,15,1,3,0,3,1,2,0,0,0,0,10,41,34,7,15,20,,10,PB
2015*,33,DEN,ROLB,94,11,10,,,,,,1,0,1,0,0,7.5,25,17,8,8,16,,8,PB
2016,34,DEN,rolb,94,10,8,0,0,0,0,1,,,,,,4,15,9,6,3,8,,4,
Career,,,,,178,173,3,44,1,41,25,35,0,8,91,2,138.5,657,505,152,171,229,,128,
9 yrs,,DAL,,,141,140,2,41,1,41,23,32,0,7,91,2,117,576,445,131,145,185,,106,
3 yrs,,DEN,,,37,33,1,3,0,3,2,3,0,1,0,0,21.5,81,60,21,26,44,,22,
