Year,Age,Tm,Pos,No.,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,AV,Awards
1988,23,PIT,rg,63,8,5,,,,,,,,,,,0,,,,,,,3,
1989,24,PIT,C,63,16,16,,,,,,,,,,,0,,,,,,,7,
1990,25,PIT,C,63,16,16,,,,,,,,,,,0,,,,,,,8,
1991,26,PIT,C,63,16,16,,,,,,,2,1,2,0,0,,,,,,,8,
1992*,27,PIT,C,63,16,16,,,,,,,,,,,0,,,,,,,9,PB
1993*+,28,PIT,C,63,16,16,,,,,,0,1,0,0,0,0,,,,,,,13,AP1 PB
1994*+,29,PIT,C,63,16,16,,,,,,,,,,,0,,,,,,,12,AP1 PB
1995*+,30,PIT,C,63,16,16,,,,,,,,,,,0,,,,,,,15,AP1 PB
1996*+,31,PIT,C,63,16,16,,,,,,,,,,,0,,,,,,,13,AP1 PB
1997*+,32,PIT,C,63,16,16,,,,,,,,,,,0,,,,,,,16,AP1 PB
1998*+,33,PIT,C,63,16,16,,,,,,0,1,0,-25,0,0,,,,,,,11,AP1 PB
1999,34,PIT,c,63,7,7,,,,,,,,,,,0,,,,,,,4,
2000,35,PIT,C,63,9,9,,,,,,,,,,,0,,,,,,,4,
Career,,,,,184,181,,,,,,0,4,1,-23,0,0,,,,,,,123,
