Year,Age,Tm,Pos,No.,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,AV,Awards
1995,22,TAM,RLB,55,16,13,,,,,,2,0,0,0,0,1,79,60,19,,,,6,
1996,23,TAM,RLB,55,16,16,1,6,0,6,,1,0,0,0,0,0,133,92,41,,,,8,
1997*,24,TAM,RLB,55,16,16,2,13,0,13,,1,1,1,0,0,1.5,145,102,43,,,,15,AP2 PB
1998*,25,TAM,RLB,55,16,16,1,25,0,25,,2,0,0,0,0,0,158,123,35,,,,14,AP DPoY-6 AP2 PB
1999*+,26,TAM,RLB,55,16,16,4,61,0,38,18,2,0,2,4,0,2,153,119,34,14,,,20,AP DPoY-5 AP1 PB
2000*+,27,TAM,RLB,55,16,16,1,34,1,34,6,5,0,0,0,0,1,146,123,23,13,,,16,AP DPoY-4 AP1 PB
2001*,28,TAM,RLB,55,16,16,3,65,0,53,11,1,0,0,0,0,0,113,80,33,4,,,12,AP2 PB
2002*+,29,TAM,RLB,55,16,16,5,218,3,97,11,1,0,1,11,1,1,118,88,30,7,,,23,AP MVP-4 AP DPoY-1 AP1 PB
2003*,30,TAM,RLB,55,16,16,2,56,1,44,9,2,0,0,0,0,1,103,73,30,3,,,16,AP2 PB
2004*+,31,TAM,RLB,55,16,16,1,3,0,3,6,2,0,0,0,0,3,137,109,28,4,,,16,AP1 PB
2005*+,32,TAM,RLB,55,16,16,1,0,0,0,11,1,0,0,0,0,3,125,93,32,10,,,16,AP1 PB
2006*,33,TAM,RLB,55,16,16,3,51,1,21,4,,,,,,0,121,96,25,4,0,,10,PB
2007,34,TAM,RLB,55,16,16,0,0,0,0,1,3,,,,,0,109,84,25,2,1,,9,
2008*,35,TAM,RLB,55,16,16,1,-2,0,-2,7,1,0,0,0,0,0,73,58,15,7,0,,11,PB
Career,,,,,224,221,25,530,6,97,84,24,1,4,15,1,13.5,1713,1300,413,68,1,,192,
