Year,Age,Tm,Pos,No.,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,AV,Awards
1989*,22,KAN,ROLB,58,16,16,,,,,,3,0,1,0,0,10,75,,,,,,11,AP DRoY-1 PB
1990*+,23,KAN,ROLB,58,15,15,,,,,,6,0,2,14,0,20,63,,,,,,17,AP DPoY-2 AP1 PB
1991*+,24,KAN,ROLB,58,16,15,,,,,,4,0,4,23,1,13.5,79,,,,,,18,AP DPoY-4 AP1 PB
1992*,25,KAN,RLB/rolb,58,16,16,,,,,,8,0,3,0,1,14.5,67,,,,,,13,PB
1993*,26,KAN,ROLB,58,16,15,,,,,,4,0,1,86,1,8,43,,,,,,12,AP2 PB
1994*,27,KAN,RLB,58,16,15,,,,,,3,0,3,11,0,11,71,65,6,,,1,13,AP2 PB
1995*,28,KAN,RLB,58,15,15,,,,,,2,0,1,0,0,8,53,48,5,,,,13,PB
1996*,29,KAN,LOLB,58,16,14,,,,,,4,0,1,0,0,13,55,47,8,,,,12,AP DPoY-7 AP2 PB
1997*,30,KAN,LOLB,58,12,10,,,,,,3,0,0,0,0,9.5,34,28,6,,,1,8,PB
1998,31,KAN,LOLB,58,15,10,,,,,,2,0,2,27,1,12,42,33,9,,,1,6,
1999,32,KAN,LLB,58,16,16,1,20,0,20,5,2,0,1,0,0,7,59,51,8,10,,,8,
Career,,,,,169,157,1,20,0,20,5,41,0,19,161,4,126.5,641,272,42,10,,3,131,
