Year,Age,Tm,Pos,No.,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Sfty,AV,Awards
1959,22,CLE,de,80,12,0,,,,,,,,,,,,,,
1960,23,CLE,LT,77,12,12,,,,,,,,,,,0,,8,
1961,24,CLE,LT,77,13,13,,,,,,,0,1,0,0,0,,7,
1962,25,CLE,LT,77,14,14,,,,,,,,,,,0,,8,
1963*+,26,CLE,LT,77,14,14,,,,,,,0,1,0,0,0,,13,AP1 PB
1964*+,27,CLE,LT,77,14,14,,,,,,,,,,,0,,17,AP1 PB
1965*+,28,CLE,LT,77,14,14,,,,,,,,,,,0,,14,AP1 PB
1966*,29,CLE,LT,77,13,13,,,,,,,,,,,0,,11,PB
1967*,30,CLE,LT,77,14,13,,,,,,,,,,,0,,8,PB
1968*,31,CLE,LT,77,14,14,,,,,,,,,,,0,,10,PB
1969,32,CLE,LT,77,14,14,,,,,,,,,,,0,,13,
1970,33,CLE,LT,77,14,14,,,,,,,0,1,27,0,0,,6,
1971,34,CLE,LT,77,14,9,,,,,,,,,,,0,,5,
Career,,,,,176,158,,,,,,,0,3,27,0,0,,120,
