Year,Age,Tm,Pos,No.,G,GS,Rec,Yds,Y/R,TD,Lng,R/G,Y/G,Rush,Yds,TD,Lng,Y/A,Y/G,A/G,Touch,Y/Tch,YScm,RRTD,Fmb,AV,Awards
1958,23,NYG,hb,13,12,0,5,84,16.8,0,31,0.4,7,12,45,0,14,3.8,3.8,1,17,7.6,129,0,3,,
1959,,Missed season - Hamilton Tiger-Cats (Canadian Football League),,,,,,,,,,,,,,,,,,,,,,,,,
1960,25,NYT,RHB,13,14,12,72,1265,17.6,6,65,5.1,90.4,,,,,,,,72,17.6,1265,6,0,14,
1961,26,NYT,FL,13,14,7,43,629,14.6,8,45,3.1,44.9,,,,,,,,43,14.6,629,8,1,6,
1962,27,NYT,FL,13,14,13,56,1041,18.6,8,86,4,74.4,,,,,,,,56,18.6,1041,8,0,8,
1963,28,NYJ,FL,13,12,12,38,780,20.5,9,73,3.2,65,2,6,0,8,3,0.5,0.2,40,19.7,786,9,0,8,
1964,29,NYJ,FL,13,14,13,46,847,18.4,8,68,3.3,60.5,3,3,0,14,1,0.2,0.2,49,17.3,850,8,1,8,
1965*,30,NYJ,FL,13,14,14,68,1218,17.9,14,56,4.9,87,1,2,0,2,2,0.1,0.1,69,17.7,1220,14,1,14,AP2 PB
1966,31,NYJ,FL,13,14,14,48,840,17.5,5,55,3.4,60,,,,,,,,48,17.5,840,5,0,9,
1967*,32,NYJ,FL,13,14,14,71,1434,20.2,10,75,5.1,102.4,4,18,0,7,4.5,1.3,0.3,75,19.4,1452,10,1,16,AP2 PB
1968*,33,NYJ,FL,13,13,13,57,1297,22.8,10,87,4.4,99.8,,,,,,,,57,22.8,1297,10,0,17,AP2 PB
1969*+,34,NYJ,WR,13,11,11,47,938,20,6,60,4.3,85.3,1,-6,0,-6,-6,-0.5,0.1,48,19.4,932,6,0,13,AP1 PB
1970,35,NYJ,WR,13,10,8,31,525,16.9,0,47,3.1,52.5,,,,,,,,31,16.9,525,0,1,6,
1971,36,NYJ,WR,13,14,14,21,408,19.4,2,74,1.5,29.1,1,2,0,2,2,0.1,0.1,22,18.6,410,2,0,6,
1972,37,NYJ,WR,13,14,14,29,510,17.6,2,41,2.1,36.4,,,,,,,,29,17.6,510,2,0,7,
1973,38,STL,wr,13,2,0,1,18,18,0,18,0.5,9,,,,,,,,1,18,18,0,0,0,
Career,,,,,186,159,633,11834,18.7,88,87,3.4,63.6,24,70,0,14,2.9,0.4,0.1,657,18.1,11904,88,8,132,
13 yrs,,NYJ-NYT,,,172,159,627,11732,18.7,88,87,3.6,68.2,12,25,0,14,2.1,0.1,0.1,639,18.4,11757,88,5,132,
1 yr,,NYG,,,12,0,5,84,16.8,0,31,0.4,7,12,45,0,14,3.8,3.8,1,17,7.6,129,0,3,,
1 yr,,STL,,,2,0,1,18,18,0,18,0.5,9,,,,,,,,1,18,18,0,0,0,
