Year,Age,Tm,Pos,No.,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Sfty,AV,Awards
1974,22,PIT,db,31,14,1,1,0,0,0,,,0,1,0,0,0,,2,
1975,23,PIT,db,31,14,2,1,29,0,29,,,0,1,0,0,0,,3,
1976,24,PIT,db,31,14,0,1,4,0,4,,,0,1,0,0,1.5,,5,
1977,25,PIT,SS,31,12,12,3,14,0,8,,,0,1,0,0,0,,5,
1978*,26,PIT,SS,31,16,16,3,21,0,20,,,0,5,21,1,3,,11,PB
1979*+,27,PIT,SS,31,16,16,5,10,0,8,,,0,2,0,0,4,,14,AP1 PB
1980*+,28,PIT,SS,31,16,16,7,135,0,67,,,0,1,7,0,0,,12,AP1 PB
1981*,29,PIT,SS,31,14,14,5,52,0,25,,,0,2,0,0,0,,11,AP2 PB
1982*+,30,PIT,SS,31,9,9,5,27,0,18,,,0,1,0,0,1,,17,AP1 PB
1983,31,PIT,SS,31,16,16,5,18,0,18,,,0,1,0,0,0,,8,
1984,32,PIT,SS,31,16,16,7,61,1,52,,,,,,,0,,8,
1985,33,PIT,SS,31,16,16,4,40,0,26,,,0,2,0,0,0,,8,
1986,34,PIT,SS,31,15,15,3,29,0,17,,,,,,,0,,7,
1987,35,PIT,SS,31,13,13,1,50,1,50,,,0,1,19,1,0,,7,
Career,,,,,201,162,51,490,2,67,,,0,19,47,2,9.5,,118,
