Year,Age,Tm,Pos,No.,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds,Sk%,NY/A,ANY/A,4QC,GWD,AV,Awards
1999,23,PHI,qb,5,12,6,2-4-0,106,216,49.1,948,8,3.7,7,3.2,55,63,4.4,3.7,8.9,79,60.1,,28,204,11.5,3.05,2.41,1,2,1,
2000*,24,PHI,QB,5,16,16,11-5-0,330,569,58,3365,21,3.7,13,2.3,181,70,5.9,5.6,10.2,210.3,77.8,,45,262,7.3,5.05,4.79,2,3,15,AP MVP-2 AP OPoY-4 PB
2001*,25,PHI,QB,5,16,16,11-5-0,285,493,57.8,3233,25,5.1,12,2.4,134,64,6.6,6.5,11.3,202.1,84.3,,39,273,7.3,5.56,5.49,2,2,14,PB
2002*,26,PHI,QB,5,10,10,7-3-0,211,361,58.4,2289,17,4.7,6,1.7,108,59,6.3,6.5,10.8,228.9,86,,28,166,7.2,5.46,5.64,0,1,10,PB
2003*,27,PHI,QB,5,16,16,12-4-0,275,478,57.5,3216,16,3.3,11,2.3,153,59,6.7,6.4,11.7,201,79.6,,43,253,8.3,5.69,5.35,2,4,15,PB
2004*,28,PHI,QB,5,15,15,13-2-0,300,469,64,3875,31,6.6,8,1.7,174,80,8.3,8.8,12.9,258.3,104.7,,32,192,6.4,7.35,7.87,2,2,16,PB
2005,29,PHI,QB,5,9,9,4-5-0,211,357,59.1,2507,16,4.5,9,2.5,116,91,7,6.8,11.9,278.6,85,,19,112,5.1,6.37,6.14,0,2,7,
2006,30,PHI,QB,5,10,10,5-5-0,180,316,57,2647,18,5.7,6,1.9,112,87,8.4,8.7,14.7,264.7,95.5,62.1,21,140,6.2,7.44,7.71,0,1,11,
2007,31,PHI,QB,5,14,14,8-6-0,291,473,61.5,3324,19,4,7,1.5,154,75,7,7.2,11.4,237.4,89.9,54,44,227,8.5,5.99,6.12,1,1,12,
2008,32,PHI,QB,5,16,16,9-6-1,345,571,60.4,3916,23,4,11,1.9,195,90,6.9,6.8,11.4,244.8,86.4,54.9,23,149,3.9,6.34,6.28,2,1,12,
2009*,33,PHI,QB,5,14,14,10-4-0,267,443,60.3,3553,22,5,10,2.3,141,60,8,8,13.3,253.8,92.9,58.2,35,264,7.3,6.88,6.86,2,3,13,PB
2010,34,WAS,QB,5,13,13,5-8-0,275,472,58.3,3377,14,3,15,3.2,152,76,7.2,6.3,12.3,259.8,77.1,47.8,37,271,7.3,6.1,5.33,2,2,8,
2011,35,MIN,qb,5,6,6,1-5-0,94,156,60.3,1026,4,2.6,2,1.3,52,60,6.6,6.5,10.9,171,82.9,54.6,16,113,9.3,5.31,5.25,,,4,
Career,,,,,167,161,98-62-1,3170,5374,59,37276,234,4.4,117,2.2,1727,91,6.9,6.8,11.8,223.2,85.6,,410,2626,7.1,5.99,5.89,16,24,138,
11 yrs,,PHI,,,148,142,92-49-1,2801,4746,59,32873,216,4.6,100,2.1,1523,91,6.9,6.9,11.7,222.1,86.5,,357,2242,7,6,5.97,14,22,126,
1 yr,,MIN,,,6,6,1-5-0,94,156,60.3,1026,4,2.6,2,1.3,52,60,6.6,6.5,10.9,171,82.9,,16,113,9.3,5.31,5.25,,,4,
1 yr,,WAS,,,13,13,5-8-0,275,472,58.3,3377,14,3,15,3.2,152,76,7.2,6.3,12.3,259.8,77.1,,37,271,7.3,6.1,5.33,2,2,8,
