Year,Age,Tm,Pos,No.,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds,Sk%,NY/A,ANY/A,4QC,GWD,AV,Awards
1993,21,NWE,QB,11,13,12,5-7-0,214,429,49.9,2494,15,3.5,15,3.5,,54,5.8,4.9,11.7,191.8,65,,16,99,3.6,5.38,4.54,2,2,6,
1994*,22,NWE,QB,11,16,16,10-6-0,400,691,57.9,4555,25,3.6,27,3.9,243,62,6.6,5.6,11.4,284.7,73.6,,22,139,3.1,6.19,5.19,3,3,13,PB
1995,23,NWE,QB,11,15,15,6-9-0,323,636,50.8,3507,13,2,16,2.5,191,47,5.5,4.8,10.9,233.8,63.7,,23,170,3.5,5.06,4.37,2,2,8,
1996*,24,NWE,QB,11,16,16,11-5-0,373,623,59.9,4086,27,4.3,15,2.4,199,84,6.6,6.3,11,255.4,83.7,,30,190,4.6,5.97,5.76,3,4,16,PB
1997*,25,NWE,QB,11,16,16,10-6-0,314,522,60.2,3706,28,5.4,15,2.9,167,76,7.1,6.9,11.8,231.6,87.7,,30,258,5.4,6.25,6.04,0,1,14,PB
1998,26,NWE,QB,11,14,14,8-6-0,263,481,54.7,3633,20,4.2,14,2.9,166,86,7.6,7.1,13.8,259.5,80.9,,36,295,7,6.46,6.01,3,4,12,
1999,27,NWE,QB,11,16,16,8-8-0,305,539,56.6,3985,19,3.5,21,3.9,184,68,7.4,6.3,13.1,249.1,75.6,,55,342,9.3,6.13,5.18,2,2,11,
2000,28,NWE,QB,11,16,16,5-11-0,312,531,58.8,3291,17,3.2,13,2.4,165,59,6.2,5.7,10.5,205.7,77.3,,45,264,7.8,5.26,4.83,2,3,11,
2001,29,NWE,qb,11,2,2,0-2-0,40,66,60.6,400,2,3,2,3,18,58,6.1,5.3,10,200,75.3,,5,21,7,5.34,4.63,,,2,
2002*,30,BUF,QB,11,16,16,8-8-0,375,610,61.5,4359,24,3.9,15,2.5,222,73,7.1,6.8,11.6,272.4,86,,54,369,8.1,6.01,5.72,2,4,14,AP CPoY-3 PB
2003,31,BUF,QB,11,16,16,6-10-0,274,471,58.2,2860,11,2.3,12,2.5,141,54,6.1,5.4,10.4,178.8,73,,49,371,9.4,4.79,4.17,1,1,7,
2004,32,BUF,QB,11,16,16,9-7-0,256,450,56.9,2932,20,4.4,16,3.6,143,69,6.5,5.8,11.5,183.3,76.6,,37,215,7.6,5.58,4.92,,,10,
2005,33,DAL,QB,11,16,16,9-7-0,300,499,60.1,3639,23,4.6,17,3.4,178,71,7.3,6.7,12.1,227.4,83.7,,49,295,8.9,6.1,5.55,4,5,11,
2006,34,DAL,qb,11,6,6,3-3-0,90,169,53.3,1164,7,4.1,8,4.7,54,51,6.9,5.6,12.9,194,69.2,46.1,16,107,8.6,5.71,4.52,,,4,
Career,,,,,194,193,98-95-0,3839,6717,57.2,44611,251,3.7,206,3.1,2071,86,6.6,6,11.6,230,77.1,,467,3135,6.5,5.77,5.18,24,31,139,
9 yrs,,NWE,,,124,123,63-60-0,2544,4518,56.3,29657,166,3.7,138,3.1,1333,86,6.6,5.9,11.7,239.2,75.9,,262,1778,5.5,5.83,5.23,17,21,93,
3 yrs,,BUF,,,48,48,23-25-0,905,1531,59.1,10151,55,3.6,43,2.8,506,73,6.6,6.1,11.2,211.5,79.2,,140,955,8.4,5.5,5,3,5,31,
2 yrs,,DAL,,,22,22,12-10-0,390,668,58.4,4803,30,4.5,25,3.7,232,71,7.2,6.4,12.3,218.3,80.1,,65,402,8.9,6,5.29,4,5,15,
