Year,Age,Tm,Pos,No.,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,AV,Awards
2002,24,BAL,SS,20,16,16,5,167,0,59,12,0,1,0,0,0,1,85,71,14,5,,,7,AP DRoY-4
2003*,25,BAL,SS,20,16,15,7,132,1,54,15,1,1,0,0,0,1,71,59,12,8,,,11,AP2 PB
2004*+,26,BAL,SS,20,16,16,9,358,1,106,17,3,1,2,44,1,2,78,64,14,6,,,15,AP DPoY-1 AP1 PB
2005,27,BAL,SS,20,10,10,1,23,0,23,9,,,,,,0,37,33,4,0,,,6,
2006*+,28,BAL,FS,20,16,16,5,70,1,37,9,1,0,1,32,0,0,60,52,8,5,0,1,14,AP1 PB
2007*+,29,BAL,FS,20,16,16,7,130,0,32,13,0,2,1,6,0,0,39,29,10,3,0,,14,AP1 PB
2008*+,30,BAL,FS,20,16,16,9,264,2,107,16,1,1,2,27,1,1,41,34,7,1,1,,17,AP DPoY-3 AP1 PB
2009*,31,BAL,FS,20,12,12,3,111,1,52,5,3,3,3,13,0,0,50,42,8,2,0,,10,AP2 PB
2010*+,32,BAL,FS,20,10,10,8,183,0,44,16,1,2,1,0,0,0,37,30,7,0,0,,11,AP DPoY-6 AP1 PB
2011*,33,BAL,FS,20,16,16,3,25,0,16,8,1,0,0,0,0,1,52,44,8,1,1,,11,AP2 PB
2012*,34,BAL,FS,20,16,16,4,78,1,34,15,0,0,3,31,0,0,58,49,9,1,0,,11,PB
2013,35,2TM,,,14,10,3,49,0,25,4,,,,,,0,38,27,11,2,0,,4,
,,HOU,fs,20,7,5,,,,,,,,,,,0,16,14,2,0,0,,2,
,,NYJ,ss,22,7,5,3,49,0,25,4,,,,,,0,22,13,9,2,0,,2,
Career,,,,,174,169,64,1590,7,107,139,11,11,13,153,2,6,646,534,112,34,2,1,131,
11 yrs,,BAL,,,160,159,61,1541,7,107,135,11,11,13,153,2,6,608,507,101,32,2,1,127,
1 yr,,HOU,,,7,5,,,,,,,,,,,0,,,2,0,0,,2,
1 yr,,NYJ,,,7,5,3,49,0,25,4,,,,,,0,,,9,2,0,,2,
